,EmployeeNumber,hand,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
121,160,1,,,,,,5,1,5,1,5,1,3,4,5,1,1,1,3,4,5,5,5,4,5,1,3,3,3,2,5,1,5,2,2,5,1,4,1,4,2,5,2,-1,3,5,4,4,1,4,5,5,5,4,5,5
122,161,1,,,,,,2,4,3,4,3,4,2,3,2,3,5,3,5,2,2,3,4,4,4,5,2,4,2,4,2,4,2,5,4,4,3,4,3,4,3,2,3,-2,3,4,4,2,4,2,3,1,3,3,4,4
123,162,2,,,,,,2,3,3,4,2,3,2,5,1,5,4,2,4,3,2,4,4,4,4,2,1,4,2,4,2,4,3,4,4,3,5,1,5,1,3,1,5,-1,5,5,3,3,3,4,4,3,4,3,4,3
124,163,1,,,,,,4,2,5,2,3,3,4,2,5,4,3,4,3,2,5,1,3,1,4,2,4,3,5,2,4,2,3,3,3,5,3,4,4,3,2,4,2,-3,2,3,3,2,5,2,3,1,4,4,4,5
125,164,1,,,,,,3,2,3,2,4,2,4,2,4,3,5,2,5,2,3,4,4,4,4,2,2,4,3,5,2,4,2,4,4,4,2,4,4,5,2,4,3,-3,2,3,3,2,4,2,4,2,3,4,4,4
126,165,1,,,,,,5,3,5,4,3,2,3,5,1,1,3,5,5,2,3,1,3,2,3,1,1,3,1,5,1,5,2,5,5,5,4,4,5,2,3,1,5,-3,5,5,4,1,4,2,4,1,5,4,3,4
127,167,1,,,,,,2,1,1,4,4,1,1,3,4,5,5,1,4,4,4,4,5,5,5,4,3,2,3,3,3,3,3,2,4,3,3,5,4,3,3,3,3,-2,3,4,5,1,5,2,5,2,4,5,5,5
128,169,2,,,,,,4,1,5,2,5,1,4,3,3,2,1,4,4,3,4,1,2,1,2,2,2,5,3,5,3,3,1,4,4,4,3,2,4,4,3,2,3,-2,2,3,4,2,4,2,5,1,4,4,5,4
129,170,1,,,,,,5,1,5,1,5,1,5,4,4,1,1,5,5,5,3,1,1,1,2,1,1,5,1,5,1,4,1,5,5,5,4,3,4,2,3,1,5,-1,5,5,4,2,5,1,5,1,5,4,5,5
130,171,1,,,,,,2,2,2,4,3,2,3,4,1,3,4,2,4,2,2,3,3,3,4,4,2,3,3,3,3,3,3,2,3,2,1,4,3,4,1,4,2,-4,1,3,4,2,4,3,3,1,3,3,4,3
131,174,1,,,,,,5,1,4,1,5,2,5,4,4,2,5,2,4,3,4,4,5,4,4,4,1,5,1,5,1,4,1,4,4,2,1,3,3,3,4,2,5,-1,4,2,5,1,3,1,4,2,4,4,5,4
132,175,1,,,,,,3,5,2,5,2,1,1,5,2,5,3,3,4,3,2,2,3,2,3,3,2,3,3,3,2,3,2,4,2,2,3,3,4,2,2,2,4,-2,4,3,3,1,4,2,3,2,3,2,4,3
133,176,1,,,,,,1,2,4,4,4,2,3,5,3,3,2,4,1,4,2,2,3,1,2,1,1,4,3,4,2,5,2,5,4,4,4,2,4,1,4,2,4,-1,2,4,4,3,3,2,4,3,4,4,4,3
134,177,2,,,,,,5,2,5,1,5,1,3,1,5,1,4,3,5,2,2,2,2,2,5,1,1,3,2,3,3,4,2,5,4,4,2,4,4,4,2,2,3,-3,3,3,5,2,5,3,3,1,3,4,5,4
135,178,1,,,,,,2,2,2,2,2,2,2,2,4,4,3,3,4,2,3,4,4,4,4,2,3,3,4,3,3,2,3,3,4,2,4,4,4,3,4,4,3,-2,4,4,5,2,5,1,5,1,4,3,5,5
136,179,1,,,,,,3,1,4,3,4,1,2,3,1,5,3,5,3,1,1,2,1,1,4,1,1,3,2,5,4,5,2,5,5,5,5,5,5,1,3,4,4,-3,5,5,2,4,5,3,5,1,5,1,5,4
137,182,1,,,,,,5,1,5,1,5,1,5,1,5,1,4,3,4,2,5,4,4,4,4,4,2,5,3,5,1,5,1,4,4,5,3,5,3,3,1,5,3,-1,3,3,3,2,5,2,3,1,5,3,2,5
138,183,1,,,,,,1,2,3,4,3,1,1,4,4,3,4,2,5,1,5,2,3,1,2,2,1,5,3,5,1,5,1,4,5,5,2,4,3,5,1,5,2,-4,1,1,5,1,5,1,4,1,4,1,5,5
139,184,1,,,,,,1,2,2,5,2,1,1,5,2,5,4,3,5,1,1,4,4,2,5,5,4,3,5,2,3,1,5,3,2,2,4,2,5,3,2,1,5,-3,3,4,2,2,4,1,1,2,3,2,5,3
140,190,1,,,,,,3,1,4,3,3,1,2,4,3,5,4,4,5,2,3,3,3,1,4,2,1,4,1,4,2,4,1,5,4,5,5,1,5,1,4,1,5,-2,5,5,4,1,5,1,5,1,4,4,4,4
141,192,1,,,,,,4,2,5,2,4,1,5,3,3,2,2,4,3,3,3,2,3,4,2,1,1,5,1,5,1,4,1,4,5,4,4,1,5,2,5,3,5,-1,4,5,5,1,5,1,5,1,5,5,5,5
142,193,1,,,,,,3,2,5,2,5,2,4,3,4,2,3,4,3,3,2,1,2,2,2,3,1,5,2,5,1,4,2,5,5,4,3,5,2,4,2,4,2,-2,2,2,4,2,3,2,3,3,4,3,3,4
143,194,1,,,,,,2,3,2,4,2,4,4,3,2,5,5,1,5,1,4,3,5,4,2,4,4,2,4,2,4,4,2,2,1,4,4,2,4,4,2,2,3,-2,2,4,4,3,4,1,4,2,4,4,4,4
144,195,1,,,,,,3,1,4,2,4,1,4,4,4,2,2,2,5,4,4,4,3,4,4,2,1,4,1,5,2,4,2,4,5,2,4,2,4,4,5,2,4,-2,4,5,4,2,4,2,5,2,4,4,4,4
145,197,1,,,,,,4,1,3,2,5,1,5,2,3,4,4,4,2,3,3,3,5,5,3,4,3,2,1,3,5,2,3,4,1,3,1,4,2,1,3,5,3,-3,1,3,2,3,4,3,4,1,3,3,5,5
146,198,1,,,,,,1,1,5,4,5,1,1,4,1,2,1,5,4,2,1,3,2,1,1,2,1,5,1,5,1,5,1,5,5,5,2,4,5,1,2,4,2,-2,1,5,5,1,5,1,5,1,5,4,5,1
147,199,1,,,,,,3,1,5,1,5,2,5,2,4,2,3,4,2,1,1,3,2,2,2,3,3,5,3,4,1,4,2,4,4,4,2,2,2,2,2,2,2,-3,3,2,4,1,4,3,4,2,4,4,2,3
148,200,1,,,,,,1,3,4,2,4,2,2,3,2,4,4,4,4,1,1,2,3,2,2,4,1,4,2,4,1,4,2,3,4,4,2,3,3,2,5,2,4,-2,4,4,5,2,5,2,3,1,4,5,5,4
149,201,1,,,,,,2,1,3,3,4,2,4,2,4,4,4,2,2,5,4,4,2,2,2,1,2,4,1,5,2,3,2,3,4,4,2,2,2,2,2,5,1,-2,4,5,4,3,3,1,3,2,4,4,2,3
150,202,1,,,,,,4,1,4,2,4,1,5,2,5,2,4,3,4,2,3,4,4,4,4,3,2,4,2,4,1,5,1,4,4,4,3,4,2,3,2,4,3,-3,2,3,4,3,3,4,3,3,3,3,2,2
151,204,1,,,,,,3,2,4,2,5,2,4,4,2,2,3,4,4,3,2,4,2,2,3,2,2,5,1,4,1,3,1,4,5,4,5,3,4,2,4,3,5,-2,4,5,5,2,3,1,4,2,5,4,4,4
152,205,1,,,,,,2,4,4,4,3,4,1,2,4,4,3,4,4,4,2,2,2,2,1,2,4,5,1,3,2,5,2,5,4,4,4,5,2,2,2,4,4,-1,4,2,2,2,2,1,4,2,4,1,4,4
153,206,1,,,,,,1,2,1,5,3,5,1,5,1,5,5,3,5,1,5,5,4,3,5,5,4,2,4,4,5,3,5,3,5,5,4,1,5,4,5,1,4,-1,4,4,4,5,5,5,4,1,4,5,5,5
154,207,1,,,,,,2,4,2,4,4,2,4,5,3,3,2,3,4,1,4,2,3,2,3,4,2,4,1,4,2,4,2,2,3,4,3,2,2,2,2,2,4,-1,3,2,4,1,4,1,4,1,4,1,5,4
155,208,1,,,,,,1,4,2,4,2,2,1,5,1,5,4,3,4,2,3,3,3,3,1,4,1,5,1,4,2,5,1,5,3,2,4,5,5,4,4,5,3,-1,3,4,5,1,3,3,5,1,5,5,4,4
156,211,2,,,,,,3,1,5,1,5,1,5,2,4,1,3,4,3,4,2,3,2,2,4,1,1,5,2,5,1,5,1,5,4,4,3,5,3,1,1,4,2,-3,1,2,4,1,3,2,3,2,4,3,5,3
157,214,1,,,,,,3,2,5,2,5,1,5,2,5,1,2,3,4,2,1,1,1,1,1,2,1,5,1,5,1,4,1,5,5,5,3,3,5,1,3,4,4,-1,4,5,5,1,5,1,5,1,4,5,5,5
158,215,1,,,,,,2,4,2,5,3,3,3,3,3,3,5,2,5,1,4,4,4,4,5,4,2,3,3,4,3,3,3,3,3,3,3,5,4,5,3,3,5,-2,5,3,3,3,5,3,3,3,3,3,3,4
159,216,1,,,,,,2,1,3,4,2,2,3,2,2,2,3,3,3,3,4,2,4,4,3,2,2,4,2,4,2,5,2,5,4,4,5,2,4,2,4,3,4,-2,5,3,4,3,5,3,4,1,4,1,4,4
160,217,1,,,,,,2,2,5,1,4,2,4,1,4,1,4,2,5,4,1,4,2,2,4,1,1,5,1,5,1,5,1,1,5,5,5,4,4,1,4,1,5,-2,5,4,4,1,5,1,5,1,5,4,5,5
161,218,1,,,,,,1,5,3,5,1,5,1,5,1,5,5,3,5,2,3,5,4,2,3,2,1,2,1,5,2,5,3,5,4,3,1,5,4,5,2,5,3,-3,1,2,3,3,5,1,4,1,3,1,5,4
162,221,1,,,,,,4,2,5,2,5,2,5,3,5,3,4,5,4,2,4,4,4,3,3,3,1,5,3,4,3,4,1,5,5,5,3,3,4,3,4,3,3,-3,4,3,5,1,4,1,5,1,5,5,4,5
163,223,1,,,,,,4,1,5,2,5,1,2,2,4,4,3,4,2,2,2,1,3,2,3,4,1,4,4,5,2,4,1,4,5,5,2,5,2,4,1,4,2,-2,1,2,5,1,5,3,3,1,4,5,5,5
164,224,1,,,,,,2,4,4,4,4,2,4,4,2,4,1,4,2,4,2,2,2,2,2,2,5,4,1,5,2,4,2,4,4,5,4,2,4,1,4,2,4,-2,4,4,4,1,2,1,4,2,4,3,4,4
165,226,1,,,,,,4,2,3,3,4,3,3,4,3,4,4,4,4,2,5,2,5,4,3,4,1,5,1,4,1,4,2,4,4,4,2,5,5,4,1,5,1,-3,2,3,3,4,5,1,3,2,2,4,5,4
166,227,1,,,,,,1,3,3,3,2,3,1,4,3,4,3,3,4,2,2,3,3,2,4,2,1,4,4,3,2,3,2,3,3,3,3,3,4,2,1,4,4,-3,4,4,4,2,5,1,4,1,4,4,3,5
167,228,1,,,,,,2,2,4,3,4,2,2,4,2,2,5,2,5,1,4,5,5,4,5,4,1,5,3,5,1,5,1,5,4,4,4,4,4,3,3,3,4,-2,4,4,3,2,4,1,3,2,4,3,5,4
168,230,1,,,,,,1,5,3,5,1,5,1,1,1,5,1,5,1,5,1,1,1,1,1,1,4,4,1,3,4,4,2,4,2,4,1,4,2,1,2,2,3,-2,1,2,4,3,5,3,4,1,3,2,4,4
169,231,1,,,,,,5,1,4,3,5,1,4,4,4,3,1,5,3,5,2,2,2,1,2,2,1,5,1,5,1,5,1,5,5,5,4,5,4,4,4,3,4,-1,5,4,4,1,5,2,5,1,5,4,4,5
170,233,1,,,,,,1,3,1,5,1,3,1,1,1,5,5,3,5,1,1,3,4,3,5,4,2,2,5,2,1,1,3,2,1,3,4,1,4,3,2,1,4,-3,3,3,4,2,5,3,3,1,3,4,3,5
171,235,1,,,,,,1,4,3,4,3,3,3,3,2,5,3,5,5,1,5,4,3,3,4,5,1,5,2,4,3,4,3,5,4,5,3,5,4,4,2,3,3,-3,3,3,3,2,4,1,4,2,5,2,5,4
172,238,1,,,,,,3,4,2,2,1,3,4,3,2,5,3,3,4,1,1,3,5,4,5,4,2,4,4,4,3,3,4,3,5,3,2,4,4,3,1,4,1,-3,3,3,3,2,3,1,3,3,3,5,5,3
173,239,3,,,,,,5,1,5,3,5,1,4,1,5,1,1,5,5,5,1,1,1,1,1,1,1,5,1,4,1,5,1,4,5,5,5,1,5,1,5,1,5,-1,1,5,5,1,5,1,5,1,5,5,5,5
174,240,3,,,,,,2,5,3,5,3,2,1,4,4,4,1,4,2,5,1,1,2,1,1,2,5,3,3,2,3,2,4,4,3,5,5,2,4,1,4,2,4,-1,4,3,4,2,4,2,4,2,3,3,4,4
175,241,1,,,,,,2,4,3,5,4,4,3,4,3,5,2,4,4,2,2,2,2,1,3,3,1,4,4,5,3,3,3,3,4,3,3,3,4,2,4,2,3,-4,4,4,5,1,4,1,3,2,4,3,5,4
176,242,1,,,,,,2,2,2,4,5,1,1,5,2,5,5,1,5,2,5,5,4,5,5,3,1,3,2,4,1,5,2,4,4,3,3,1,2,3,1,4,5,-5,1,1,4,3,5,2,5,1,1,1,5,5
177,243,1,,,,,,4,2,4,4,2,2,3,2,5,5,3,3,4,4,3,2,4,4,3,1,4,4,1,4,2,5,2,4,5,2,3,2,4,2,4,3,4,-1,3,4,4,2,4,1,5,1,5,3,4,4
178,244,1,,,,,,3,3,4,3,4,2,2,4,3,4,4,4,4,2,3,3,3,3,3,2,1,4,2,4,3,3,3,4,3,4,4,2,4,3,3,2,4,-2,3,4,5,1,5,4,4,1,4,4,4,4
179,245,1,,,,,,1,2,2,2,3,4,2,4,4,5,2,4,3,3,2,4,4,4,2,3,3,4,2,4,2,4,3,3,3,3,2,4,4,4,2,4,1,-3,2,2,1,2,4,1,4,2,4,1,4,5
180,246,1,,,,,,3,2,5,3,4,4,2,2,5,2,3,3,2,4,3,3,3,3,3,2,2,2,1,4,3,4,2,4,4,5,3,2,4,2,4,2,1,-1,4,3,4,1,5,1,4,1,5,3,3,5
181,247,1,,,,,,3,2,3,2,5,1,3,2,5,3,4,5,5,5,2,2,5,3,4,1,4,3,5,1,4,4,4,2,2,2,4,5,2,1,1,5,2,-4,1,5,5,1,5,1,5,1,5,5,4,5
182,248,1,,,,,,1,4,3,5,3,5,1,4,3,5,5,3,5,1,5,5,5,5,5,5,5,3,4,2,4,3,5,3,2,3,4,2,4,3,1,3,4,-5,3,3,3,3,5,3,3,1,4,3,5,4
183,249,1,,,,,,4,3,5,1,5,1,5,1,5,1,1,5,1,5,4,1,3,1,4,1,2,5,1,5,3,4,1,4,5,5,5,5,5,2,1,5,4,-3,1,4,4,1,5,1,5,1,5,4,5,5
184,250,1,,,,,,3,5,2,5,4,4,3,5,1,5,5,2,5,1,4,4,4,4,5,5,2,4,4,4,2,5,2,3,4,4,2,4,4,3,2,3,4,-2,3,5,4,2,4,3,5,2,5,4,5,4
185,252,1,,,,,,2,4,2,4,3,2,2,4,3,4,5,2,5,1,4,4,5,5,5,5,2,4,4,4,2,4,2,4,4,1,2,4,4,4,2,3,4,-4,3,4,5,1,5,1,5,1,5,5,4,5
186,253,1,,,,,,5,2,5,1,5,2,5,5,3,2,3,3,3,3,3,3,3,3,3,2,4,4,2,3,1,3,1,4,3,3,3,2,3,1,5,2,4,-2,2,2,3,2,3,2,3,2,5,2,4,3
187,254,1,,,,,,3,2,4,3,3,4,2,4,2,4,1,4,2,5,3,3,3,2,3,2,2,4,2,4,2,4,3,2,3,3,3,4,4,1,2,4,4,-3,2,4,4,1,2,2,3,4,4,3,4,3
188,256,1,,,,,,1,5,4,5,1,2,1,4,3,5,3,5,3,2,4,1,1,1,3,3,5,3,4,1,3,1,2,2,1,2,2,5,5,3,1,3,4,-4,3,3,5,1,3,1,4,2,5,5,5,5
189,258,1,,,,,,1,4,2,3,4,4,1,4,2,3,5,3,2,3,4,3,3,2,3,3,2,3,2,4,2,5,3,3,4,3,3,3,3,3,3,2,3,-1,5,3,2,4,4,3,3,4,3,2,5,2
190,259,1,,,,,,5,1,5,3,1,5,1,1,5,5,5,1,1,5,5,1,2,1,1,1,5,5,1,5,5,5,1,5,5,5,1,1,5,5,1,5,1,-5,4,5,1,1,5,2,3,5,4,1,1,4
191,260,1,,,,,,4,3,3,3,3,3,4,4,3,1,4,4,4,2,4,5,5,3,4,3,1,4,1,4,4,5,3,5,4,5,3,5,3,4,3,5,2,-1,3,4,2,3,4,3,5,2,5,3,2,4
192,261,1,,,,,,4,3,4,2,4,2,3,2,4,4,1,3,3,3,2,2,4,4,2,3,5,4,1,5,2,4,2,5,4,4,3,2,4,2,5,2,4,-2,4,3,3,2,4,2,4,2,4,2,4,4
193,262,1,,,,,,1,5,3,5,1,5,3,5,1,4,2,3,3,4,3,3,4,4,4,1,4,2,4,1,5,2,4,2,1,3,3,3,5,4,2,3,3,-3,3,3,4,4,5,3,4,1,4,3,3,5
194,264,1,,,,,,1,5,4,4,1,5,3,4,5,5,3,5,5,5,5,3,3,3,4,5,4,4,2,4,2,4,2,3,4,3,2,3,5,4,2,2,2,-4,1,4,4,2,4,1,4,2,2,3,5,5
195,267,1,,,,,,4,2,5,3,5,3,5,1,5,2,1,5,1,3,4,1,2,1,2,3,3,5,4,4,2,4,2,4,5,5,2,4,2,5,1,3,2,-5,1,1,4,4,5,3,2,1,3,3,4,3
196,269,1,,,,,,2,4,3,4,1,4,2,4,1,4,4,2,5,4,4,4,3,2,4,3,2,3,4,2,2,2,4,4,2,4,2,2,4,3,2,3,4,-2,1,4,4,4,4,4,3,2,3,3,4,4
197,270,1,,,,,,3,2,4,2,3,2,2,1,5,5,2,4,4,2,1,4,5,1,1,3,4,4,1,4,2,5,2,5,5,5,5,3,5,2,3,5,3,-3,5,5,2,3,4,3,4,1,3,2,3,3
198,271,1,,,,,,5,1,5,3,5,2,5,2,3,2,3,3,3,3,3,3,2,2,2,3,5,5,1,5,2,5,1,5,5,4,5,4,5,2,3,1,3,-3,5,3,2,3,3,3,3,3,5,2,3,3
199,273,1,,,,,,1,5,2,5,2,4,1,5,1,5,2,4,2,4,2,2,2,1,2,1,3,4,1,4,3,3,3,4,4,4,3,4,3,2,2,5,3,-2,3,3,4,3,5,1,5,1,3,4,5,5
200,274,1,,,,,,3,2,3,2,3,3,3,5,2,3,3,3,5,4,2,4,3,3,3,3,1,4,3,4,1,4,2,4,4,3,4,4,5,3,3,2,5,-2,2,5,3,2,4,2,3,5,4,4,4,5
201,275,1,,,,,,1,5,1,5,1,5,1,5,1,5,5,1,5,2,5,5,4,4,1,3,5,1,1,3,5,5,5,1,1,3,3,5,3,3,3,5,3,-4,2,3,3,3,5,5,1,3,3,2,5,1
202,277,2,,,,,,1,3,5,1,3,4,3,5,5,5,3,5,5,5,5,5,3,2,4,3,5,5,5,5,1,5,3,3,5,4,1,3,3,5,3,5,3,-3,3,3,4,5,4,3,3,1,3,3,3,4
203,281,2,,,,,,5,1,5,1,5,1,5,2,5,1,5,2,5,2,4,3,5,4,5,4,1,5,3,5,1,5,1,5,5,5,3,4,4,3,4,3,4,-1,3,4,4,1,5,2,5,1,5,1,5,5
204,282,1,,,,,,1,5,2,3,1,3,1,5,3,5,1,1,5,1,1,1,5,1,1,1,3,3,3,5,3,5,3,5,4,1,3,1,5,3,3,1,5,-2,3,5,5,5,5,5,3,1,1,3,5,3
205,283,1,,,,,,1,4,5,2,4,2,4,2,5,4,1,4,3,4,2,2,1,1,1,1,1,5,1,4,2,4,1,4,4,4,4,1,4,2,3,2,4,-1,4,4,4,2,5,2,4,2,5,5,5,5
206,284,1,,,,,,1,3,2,2,4,4,1,5,1,5,3,3,4,2,3,4,5,3,4,4,2,3,2,2,2,4,3,3,4,2,3,2,4,2,4,2,5,-3,4,3,4,3,3,2,3,4,4,4,4,3
207,286,1,,,,,,2,5,2,5,3,4,4,2,5,3,1,3,4,3,2,3,4,3,3,3,5,3,5,2,3,4,3,4,2,4,5,2,3,3,4,4,3,-2,3,4,1,3,4,3,4,4,3,3,4,3
208,287,2,,,,,,4,1,5,2,4,1,4,2,5,2,3,5,4,4,4,2,1,2,2,2,1,5,2,5,1,5,1,4,5,5,4,4,4,3,4,2,5,-2,5,4,4,4,3,5,4,3,4,3,5,4
209,288,1,,,,,,1,4,5,5,2,4,1,5,1,2,3,5,5,5,5,1,1,1,1,1,1,1,3,1,5,1,5,1,1,1,5,1,5,1,5,1,5,-1,5,1,3,1,3,1,3,1,5,3,5,3
210,291,1,,,,,,1,4,4,5,2,4,1,4,2,4,4,4,5,4,2,4,2,2,4,2,4,2,4,2,4,2,4,2,2,2,5,4,5,2,5,5,5,-1,4,4,4,2,4,2,4,2,2,4,2,3
211,292,1,,,,,,3,4,4,3,4,2,4,4,2,2,4,3,4,3,2,4,2,2,4,2,1,4,2,4,2,4,2,4,3,4,3,5,3,4,2,4,3,-2,2,4,4,2,4,3,4,1,4,3,4,4
212,293,3,,,,,,1,4,2,3,4,2,1,5,2,5,3,3,5,1,3,4,4,5,3,5,5,4,4,2,3,1,2,5,2,4,3,2,5,1,3,3,4,-3,2,5,5,1,4,1,4,3,5,5,4,5
213,296,1,,,,,,2,4,2,3,5,4,2,4,3,4,1,4,4,3,2,5,3,3,5,3,2,3,3,5,1,5,5,5,5,4,3,1,3,2,3,5,2,-3,3,4,3,5,2,1,4,4,4,4,3,4
214,297,1,,,,,,4,1,3,3,4,1,5,3,5,2,3,4,5,4,3,5,3,3,5,3,1,5,4,5,2,5,1,5,5,4,5,1,5,3,3,3,5,-1,3,4,2,2,5,3,2,2,2,1,5,3
215,298,1,,,,,,3,3,3,3,3,5,1,5,1,5,1,5,4,2,4,3,5,3,2,4,2,4,1,5,2,5,1,3,5,2,3,5,5,4,1,1,5,-3,5,3,1,5,4,2,1,5,3,1,5,1
216,299,2,,,,,,2,3,2,3,2,1,2,3,3,4,4,3,5,3,4,4,4,4,4,4,1,4,1,5,1,5,1,3,5,3,5,2,5,2,4,1,5,-3,4,4,5,1,5,2,5,1,4,4,5,5
217,300,1,,,,,,4,1,3,1,5,1,1,1,5,5,4,3,5,1,1,1,3,1,1,5,1,5,5,5,1,5,1,3,5,4,4,5,5,2,1,2,5,-2,3,2,5,3,5,1,5,1,4,5,5,5
218,302,1,,,,,,2,1,4,4,5,1,3,4,5,2,4,3,5,1,2,2,3,2,1,2,1,4,3,5,1,4,1,4,4,4,3,1,4,2,4,1,5,-1,2,4,3,1,5,5,4,1,4,4,5,2
219,303,1,,,,,,2,4,2,4,2,4,2,2,3,3,4,2,4,4,4,4,4,3,4,4,2,2,4,4,4,4,4,2,4,3,2,2,4,2,3,3,2,-2,2,4,4,4,2,4,2,4,2,2,4,2
220,304,1,,,,,,4,1,3,1,4,1,5,1,5,1,5,2,5,1,5,5,5,5,5,5,1,5,4,4,1,4,1,5,5,4,3,5,5,5,1,5,1,-3,1,3,5,3,5,3,5,1,5,4,4,5
221,305,1,,,,,,5,1,5,3,5,2,5,3,4,1,4,3,5,1,3,4,4,4,2,5,1,5,2,5,1,3,1,4,4,4,3,3,4,3,2,2,4,-3,3,3,5,1,3,1,3,2,4,5,4,3
222,306,1,,,,,,3,4,4,2,4,2,2,2,5,2,3,5,3,2,4,3,3,1,3,2,4,4,4,2,4,4,2,3,4,4,5,5,2,2,3,4,3,-2,1,3,4,3,4,2,5,1,4,3,2,5
223,307,1,,,,,,5,1,5,1,5,1,4,5,1,4,1,5,3,1,4,5,1,3,5,1,4,5,3,3,1,5,1,5,4,3,5,1,5,1,3,5,1,-3,4,3,5,1,3,3,4,1,5,5,2,3
224,308,2,,,,,,2,4,3,4,2,3,2,4,4,4,4,4,5,3,3,3,4,4,3,3,2,5,2,5,2,4,2,3,5,3,3,3,4,3,1,1,4,-5,3,3,3,3,5,2,3,1,2,2,5,5
225,309,1,,,,,,4,3,2,3,2,3,2,3,3,2,3,1,5,2,2,5,3,4,3,2,5,3,1,2,2,5,3,3,4,2,5,1,4,2,5,4,3,-5,4,2,3,2,3,2,2,4,3,3,3,2
226,311,1,,,,,,2,2,4,4,3,2,4,4,4,5,5,2,5,2,2,3,2,2,4,4,1,4,4,5,1,4,1,5,5,4,5,4,4,2,2,4,3,-2,4,4,5,2,5,2,4,1,4,4,5,3
227,312,1,,,,,,3,3,5,2,3,1,4,3,5,2,1,4,1,4,2,4,1,2,4,2,2,4,3,2,5,1,4,3,4,3,4,4,2,5,3,5,4,-3,2,4,5,1,4,1,5,1,5,5,3,5
228,314,1,,,,,,1,3,2,5,2,2,1,5,2,4,4,3,4,2,4,3,4,3,3,4,1,4,2,4,2,4,4,4,4,4,4,5,4,4,3,4,3,-4,4,3,4,2,2,2,3,4,4,4,4,3
229,315,1,,,,,,2,4,2,4,2,2,2,4,1,4,3,3,4,2,2,3,3,4,3,4,4,3,4,3,2,3,3,3,3,3,2,4,4,4,2,4,2,-2,3,2,4,1,5,2,3,2,3,4,4,4
230,316,1,,,,,,2,4,2,4,2,4,2,4,2,4,3,4,3,2,3,4,4,4,2,4,3,3,2,4,2,4,2,4,3,3,4,2,2,2,2,4,4,-2,4,3,4,2,2,2,4,2,4,2,4,3
231,319,1,,,,,,1,4,1,3,3,3,1,4,1,5,5,1,3,1,5,5,5,5,5,5,4,1,3,4,4,2,5,3,3,4,2,3,3,4,4,4,2,-3,1,5,3,3,5,1,4,1,5,4,5,5
232,321,1,,,,,,1,3,1,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,5,1,5,2,1,5,1,5,5,1,5,1,1,1,5,1,2,5,5,-5,1,1,5,1,5,5,5,1,5,1,5,5
233,323,1,,,,,,1,2,4,4,5,4,1,4,5,5,5,1,5,5,4,5,5,5,5,5,5,5,4,5,2,5,1,5,5,5,4,4,5,4,4,5,5,-5,4,5,1,1,3,5,1,5,5,1,4,2
234,325,1,,,,,,3,1,4,3,3,1,4,3,3,5,3,4,5,3,2,3,4,1,3,2,1,5,1,5,1,5,1,5,5,5,2,4,5,3,3,4,1,-3,2,4,4,1,5,1,4,1,5,4,5,5
235,327,1,,,,,,1,4,1,5,1,5,1,4,1,5,1,1,2,5,5,4,5,4,4,2,4,1,4,1,5,1,5,1,1,1,1,5,3,5,1,5,1,-5,1,2,3,1,1,5,1,1,4,1,1,4
236,328,2,,,,,,3,3,3,2,4,2,2,3,2,2,4,2,5,1,4,5,5,5,4,5,1,4,2,5,1,5,2,5,4,4,2,2,4,5,1,2,4,-2,2,3,4,3,5,2,2,2,5,2,5,3
237,329,1,,,,,,2,4,2,4,3,3,3,4,2,4,3,4,4,4,4,3,3,3,3,3,4,4,3,4,2,4,3,3,3,4,4,3,3,4,2,4,4,-3,3,3,4,3,4,3,4,2,4,2,3,4
238,330,1,,,,,,1,4,1,4,5,4,5,4,2,2,5,2,5,1,4,4,5,4,4,5,5,4,2,3,4,3,4,2,1,1,5,2,4,3,3,3,4,-2,4,4,4,5,4,5,2,2,4,4,4,3
239,331,1,,,,,,1,5,3,4,2,5,2,4,1,3,2,4,3,3,2,2,3,2,2,3,4,2,1,3,3,4,4,3,3,3,4,2,3,2,4,3,4,-2,4,4,3,2,3,2,3,2,4,4,5,3
240,332,2,,,,,,1,3,1,4,2,4,1,3,4,5,5,2,5,1,4,5,5,4,3,5,2,4,3,3,2,4,2,3,2,3,3,5,4,4,1,3,3,-4,1,4,3,1,5,1,4,1,5,4,5,4
241,333,1,,,,,,3,3,5,3,5,1,4,2,3,3,1,5,2,5,1,1,1,1,1,1,1,5,1,5,1,4,1,4,5,5,4,4,3,1,3,3,3,-1,1,5,5,1,5,1,4,1,5,4,5,4
242,334,1,,,,,,1,2,3,4,3,2,2,4,2,4,5,1,5,1,3,5,4,4,5,5,1,5,5,5,2,5,2,3,5,4,2,4,3,4,2,4,5,-4,2,3,4,2,3,1,3,4,5,4,4,3
243,335,1,,,,,,2,4,3,4,2,5,2,5,1,5,5,4,4,4,4,3,2,2,4,4,4,4,2,4,2,4,4,3,2,3,3,3,4,3,1,4,3,-3,1,2,3,5,3,4,4,3,3,2,3,3
