EmployeeNumber,Age,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_Yes
467,47,16,17,-9,10,-26,1309,4,1,1,2,99,3,2,3,2976,25751,3,19,3,1,80,0,5,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
468,42,23,12,-4,10,-33,810,23,5,1,1,44,3,4,4,15992,15901,2,14,3,2,80,0,16,2,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
469,29,17,3,-3,23,-20,746,2,3,1,4,61,3,2,3,4649,16928,1,14,3,1,80,1,4,3,2,4,3,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
470,42,27,-1,-16,3,-30,544,2,1,1,3,52,3,1,3,2696,24017,0,11,3,3,80,1,4,5,3,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
471,32,18,13,2,11,-35,1062,2,3,1,3,75,3,1,2,2370,3956,1,13,3,3,80,1,8,4,3,8,0,0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
473,48,25,9,2,23,-22,530,29,1,1,1,91,3,3,3,12504,23978,3,21,4,2,80,1,15,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
474,37,6,-6,12,20,-8,1319,6,3,1,3,51,4,2,1,5974,17001,4,13,3,1,80,2,13,2,3,7,7,6,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
475,30,16,14,10,15,-19,641,25,2,1,4,85,3,2,3,4736,6069,7,12,3,2,80,1,4,2,4,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
476,26,24,12,9,9,-15,933,1,3,1,3,57,3,2,3,5296,20156,1,17,3,2,80,1,8,3,3,8,7,7,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
477,42,32,5,-15,11,-2,1332,2,4,1,1,98,2,2,4,6781,17078,3,23,4,2,80,0,14,6,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
478,21,12,13,-1,10,-8,756,1,1,1,1,99,2,1,2,2174,9150,1,11,3,3,80,0,3,3,3,3,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
479,36,32,16,-20,-2,-25,845,1,5,1,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,6,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
481,36,21,7,7,10,-2,541,3,4,1,1,48,2,3,4,9699,7246,4,11,3,1,80,1,16,2,3,13,9,1,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
482,57,28,10,4,26,-4,593,1,4,1,4,88,3,2,3,6755,2967,2,11,3,3,80,0,15,2,3,3,2,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
483,40,23,4,-8,3,-16,1171,10,4,1,4,46,4,1,3,2213,22495,3,13,3,3,80,1,10,3,3,7,7,1,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
484,21,25,20,15,16,-24,895,9,2,1,1,39,3,1,4,2610,2851,1,24,4,3,80,0,3,3,2,3,2,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
485,33,19,0,-6,14,-25,350,5,3,1,4,34,3,1,3,2851,9150,1,13,3,2,80,0,1,2,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
486,37,14,19,16,18,-12,921,10,3,1,3,98,3,1,1,3452,17663,6,20,4,2,80,1,17,3,3,5,4,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
487,46,19,11,-9,9,-27,1144,7,4,1,3,30,3,2,3,5258,16044,2,14,3,3,80,0,7,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
488,41,21,17,5,15,-4,143,4,3,1,1,56,3,2,2,9355,9558,1,18,3,3,80,0,8,5,3,8,7,7,7,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
491,50,29,2,-7,17,-15,1046,10,3,1,4,100,2,3,4,10496,2755,6,15,3,4,80,0,20,2,3,4,3,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
492,40,29,7,5,17,-7,575,22,2,1,3,68,2,2,3,6380,6110,2,12,3,1,80,2,8,6,3,6,4,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
493,31,15,15,-13,-12,-18,408,9,4,1,3,42,2,1,2,2657,7551,0,16,3,4,80,0,3,5,3,2,2,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
494,21,19,15,-1,23,-12,156,12,3,1,3,90,4,1,2,2716,25422,1,15,3,4,80,0,1,0,3,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
495,29,20,12,13,21,-24,1283,23,3,1,4,54,3,1,4,2201,18168,9,16,3,4,80,0,6,4,3,3,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
496,35,28,5,3,14,-14,755,9,4,1,3,97,2,2,2,6540,19394,9,19,3,3,80,0,10,5,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
497,27,21,0,-7,9,-30,1469,1,2,1,4,82,3,1,2,3816,17881,1,11,3,2,80,1,5,2,3,5,2,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
498,28,21,15,-7,22,-20,304,9,4,1,2,92,3,2,4,5253,20750,1,16,3,4,80,0,7,1,3,7,5,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
499,49,28,-2,8,16,-17,1261,7,3,1,2,31,2,3,3,10965,12066,8,24,4,3,80,0,26,2,3,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
500,51,14,20,-5,8,-7,1178,14,2,1,3,87,3,2,4,4936,14862,4,11,3,3,80,1,18,2,2,7,7,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
501,36,22,-1,-16,19,-32,329,2,3,1,4,96,3,1,3,2543,11868,4,13,3,2,80,1,6,3,3,2,2,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
502,34,9,2,-3,9,-29,1362,19,3,1,1,67,4,2,4,5304,4652,8,13,3,2,80,0,9,3,2,5,2,0,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
505,55,27,6,-14,20,-23,1311,2,3,1,3,97,3,4,4,16659,23258,2,13,3,3,80,0,30,2,3,5,4,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
507,24,15,9,-5,15,-14,1371,10,4,1,4,77,3,2,3,4260,5915,1,12,3,4,80,1,5,2,4,5,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
508,30,22,1,-9,4,-35,202,2,1,1,3,72,3,1,2,2476,17434,1,18,3,1,80,1,1,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
510,26,15,13,-3,16,-17,575,3,1,1,3,73,3,1,1,3102,6582,0,22,4,3,80,0,7,2,3,6,4,0,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
511,22,23,17,-1,19,-17,253,11,3,1,1,43,3,1,2,2244,24440,1,13,3,4,80,1,2,1,3,2,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
513,36,22,3,-17,15,-21,164,2,2,1,2,61,2,3,3,7596,3809,1,13,3,2,80,2,10,2,3,10,9,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
514,30,24,10,7,17,-25,464,4,3,1,3,40,3,1,4,2285,3427,9,23,4,3,80,0,3,4,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
515,37,25,12,-5,11,-22,1107,14,3,1,4,95,3,1,1,3034,26914,1,12,3,3,80,1,18,2,2,18,7,12,17,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
516,40,24,19,-5,8,-2,759,2,2,1,4,46,3,2,2,5715,22553,7,12,3,3,80,2,8,5,3,5,4,1,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
517,42,26,14,7,21,-14,201,1,4,1,2,95,3,1,1,2576,20490,3,16,3,2,80,1,8,5,3,5,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
518,37,15,10,-8,18,-27,1305,10,4,1,3,49,3,2,2,4197,21123,2,12,3,4,80,0,18,2,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
520,43,18,12,-2,11,-5,982,12,3,1,1,59,2,4,2,14336,4345,1,11,3,3,80,1,25,3,3,25,10,3,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
521,40,32,13,-3,3,-23,555,2,3,1,2,78,2,2,3,3448,13436,6,22,4,2,80,1,20,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
522,54,29,8,16,19,-27,821,5,2,1,1,86,3,5,1,19406,8509,4,11,3,3,80,1,24,4,2,4,2,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
523,34,21,9,-7,21,-29,1381,4,4,1,3,72,3,2,3,6538,12740,9,15,3,1,80,1,6,3,3,3,2,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
524,31,20,2,-6,22,-7,480,7,2,1,2,31,3,2,1,4306,4156,1,12,3,2,80,1,13,5,1,13,10,3,12,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
525,43,23,13,-2,22,-28,313,21,3,1,4,61,3,1,4,2258,15238,7,20,4,1,80,1,8,1,3,3,2,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
526,43,25,12,4,19,-13,1473,8,4,1,3,74,3,2,3,4522,2227,4,14,3,4,80,0,8,3,3,5,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
527,25,27,17,3,16,-22,891,4,2,1,2,99,2,2,4,4487,12090,1,11,3,2,80,0,5,3,3,5,4,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
529,37,12,10,8,17,-20,1063,25,5,1,2,72,3,2,3,4449,23866,3,15,3,1,80,2,15,2,3,13,11,10,7,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
530,31,19,15,-2,15,-16,329,1,2,1,4,98,2,1,1,2218,16193,1,12,3,3,80,1,4,3,3,4,2,3,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
531,39,28,20,-5,17,-18,1218,1,1,1,2,52,3,5,3,19197,8213,1,14,3,3,80,1,21,3,3,21,8,1,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
532,56,18,6,12,23,-9,906,6,3,1,3,86,4,4,1,13212,18256,9,11,3,4,80,3,36,0,2,7,7,7,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
533,30,17,4,-9,13,-33,1082,12,3,1,2,83,3,2,3,6577,19558,0,11,3,2,80,0,6,6,3,5,4,4,4,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
534,41,16,20,0,8,-19,645,1,3,1,2,49,4,3,1,8392,19566,1,16,3,3,80,1,10,2,3,10,7,0,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
536,28,24,17,10,-6,-11,1300,17,2,1,3,79,3,2,1,4558,13535,1,12,3,4,80,1,10,2,3,10,0,1,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
538,25,25,6,-2,18,-12,688,3,3,1,1,91,3,1,1,4031,9396,5,13,3,3,80,1,6,5,3,2,2,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
543,52,19,13,8,14,-21,319,3,3,1,4,39,2,3,3,7969,19609,2,14,3,3,80,0,28,4,3,5,4,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
544,45,9,5,-13,-8,-3,192,10,2,1,1,69,3,1,4,2654,9655,3,21,4,4,80,2,8,3,2,2,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
546,52,27,10,-6,18,-19,1490,4,2,1,4,30,3,4,4,16555,10310,2,13,3,4,80,0,31,2,1,5,2,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
547,42,16,13,-13,8,-15,532,29,2,1,1,92,3,2,3,4556,12932,2,11,3,2,80,1,19,3,3,5,4,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
548,30,21,4,12,11,-13,317,2,3,1,3,43,1,2,4,6091,24793,2,20,4,3,80,0,11,2,3,5,4,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
549,60,13,5,-14,4,-23,422,7,3,1,1,41,3,5,1,19566,3854,5,11,3,4,80,0,33,5,1,29,8,11,10,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
550,46,16,13,-19,2,-23,1485,18,3,1,3,87,3,2,3,4810,26314,2,14,3,3,80,1,19,5,2,10,7,0,8,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
551,42,8,10,1,12,-27,1368,28,4,1,4,88,2,2,4,4523,4386,0,11,3,4,80,3,7,4,4,6,5,0,4,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
554,24,17,-4,-10,18,-17,1448,1,1,1,1,62,3,1,2,3202,21972,1,16,3,2,80,0,6,4,3,5,3,1,4,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
555,34,29,4,-10,16,-10,296,6,2,1,4,33,1,1,3,2351,12253,0,16,3,4,80,1,3,3,2,2,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
556,38,10,13,-10,6,-30,1490,2,2,1,4,42,3,1,4,1702,12106,1,23,4,3,80,1,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
558,40,20,7,8,20,-16,1398,2,4,1,3,79,3,5,3,18041,13022,0,14,3,4,80,0,21,2,3,20,15,1,12,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
560,26,27,12,13,16,-25,1349,23,3,1,1,90,3,1,4,2886,3032,1,22,4,2,80,2,3,3,1,3,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
562,30,26,18,-14,19,-20,1400,3,3,1,3,53,3,1,4,2097,16734,4,15,3,3,80,1,9,3,1,5,3,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
564,29,29,2,1,12,-36,986,3,4,1,2,93,2,3,3,11935,21526,1,18,3,3,80,0,10,2,3,10,2,0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
565,29,22,21,-9,13,-24,408,25,5,1,3,71,2,1,2,2546,18300,5,16,3,2,80,0,6,2,4,2,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
566,19,30,24,-2,19,-26,489,2,2,1,1,52,2,1,4,2564,18437,1,12,3,3,80,0,1,3,4,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
567,30,28,6,-1,19,-17,1398,22,4,1,3,69,3,3,1,8412,2890,0,11,3,3,80,0,10,3,3,9,8,7,8,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
568,57,15,8,-6,6,-23,210,29,3,1,1,56,2,4,4,14118,22102,3,12,3,3,80,1,32,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
569,50,15,18,-7,18,-32,1099,29,4,1,2,88,2,4,3,17046,9314,0,15,3,2,80,1,28,2,3,27,10,15,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
571,30,16,12,-3,9,-28,1116,2,3,1,3,49,3,1,4,2564,7181,0,14,3,3,80,0,12,2,2,11,7,6,7,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
573,60,20,5,-6,9,-25,1499,28,3,1,3,80,2,3,1,10266,2845,4,19,3,4,80,0,22,5,4,18,13,13,11,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
574,47,16,7,-7,5,-25,983,2,2,1,1,65,3,2,4,5070,7389,5,13,3,3,80,3,20,2,3,5,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
575,46,23,0,17,24,-22,1009,2,3,1,1,51,3,4,3,17861,2288,6,13,3,3,80,0,26,2,1,3,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
577,35,32,6,-15,16,-38,144,22,3,1,4,46,1,1,3,4230,19225,0,15,3,3,80,0,6,2,3,5,4,4,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
578,54,22,13,0,4,-1,548,8,4,1,3,42,3,2,3,3780,23428,7,11,3,3,80,0,19,3,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
579,34,18,19,8,14,-14,1303,2,4,1,4,62,2,1,3,2768,8416,3,12,3,3,80,1,14,3,3,7,3,5,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
580,46,14,13,-17,7,-7,1125,10,3,1,3,94,2,3,4,9071,11563,2,19,3,3,80,1,15,3,3,3,2,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
581,31,13,6,11,17,-20,1274,9,1,1,3,33,3,3,2,10648,14394,1,25,4,4,80,1,13,6,4,13,8,0,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
582,33,27,10,11,19,-22,1277,15,1,1,2,56,3,3,3,13610,24619,7,12,3,4,80,0,15,2,4,7,6,7,7,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
584,33,27,6,6,19,-27,587,10,1,1,1,38,1,1,4,3408,6705,7,13,3,1,80,3,8,2,3,4,3,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
585,30,23,13,-8,-1,-33,413,7,1,1,4,57,3,1,2,2983,18398,0,14,3,1,80,0,4,3,3,3,2,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
586,35,15,8,8,19,-26,1276,16,3,1,4,72,3,3,3,7632,14295,4,12,3,3,80,0,10,2,3,8,7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
587,31,25,9,-1,5,-23,534,20,3,1,1,66,3,3,3,9824,22908,3,12,3,1,80,0,12,2,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
590,34,29,11,18,23,-13,988,23,3,1,2,43,3,3,1,9950,11533,9,15,3,3,80,3,11,2,3,3,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
591,42,27,6,-11,1,-28,1474,5,2,1,2,97,3,1,3,2093,9260,4,17,3,4,80,1,8,4,3,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
592,36,22,7,0,10,-20,635,10,4,1,2,32,3,3,4,9980,15318,1,14,3,4,80,0,10,3,2,10,3,9,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
593,22,20,13,9,16,-16,1368,4,1,1,3,99,2,1,3,3894,9129,5,16,3,3,80,0,4,3,3,2,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
595,48,28,2,-8,10,-30,163,2,5,1,2,37,3,2,4,4051,19658,2,14,3,1,80,1,14,2,3,9,7,6,7,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
597,55,23,8,4,18,-31,1117,18,5,1,1,83,3,4,2,16835,9873,3,23,4,4,80,0,37,2,3,10,9,7,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
599,41,22,11,6,17,-8,267,10,2,1,4,56,3,2,4,6230,13430,7,14,3,4,80,0,16,3,3,14,3,1,10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
600,35,23,4,-2,4,-16,619,1,3,1,2,85,3,2,3,4717,18659,9,11,3,3,80,0,15,2,3,11,9,6,9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
601,40,11,3,6,8,-18,302,6,3,1,2,75,3,4,3,13237,20364,7,15,3,3,80,0,22,3,3,20,6,5,13,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
602,39,13,5,12,14,-3,443,8,1,1,3,48,3,1,3,3755,17872,1,11,3,1,80,1,8,3,3,8,3,0,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
604,31,28,25,-5,8,-29,828,2,1,1,2,77,3,2,4,6582,8346,4,13,3,3,80,0,10,2,4,6,5,0,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
605,42,19,4,-11,5,-3,319,24,3,1,4,56,3,3,1,7406,6950,1,21,4,4,80,1,10,5,2,10,9,5,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
606,45,22,10,14,22,-29,561,2,3,1,4,61,3,2,2,4805,16177,0,19,3,2,80,1,9,3,4,8,7,3,7,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
608,26,16,6,-3,12,-20,426,17,4,1,2,58,3,1,3,2741,22808,0,11,3,2,80,1,8,2,2,7,7,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
611,29,12,8,-4,14,-21,232,19,3,1,4,34,3,2,4,4262,22645,4,12,3,2,80,2,8,2,4,3,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
612,33,24,24,-8,19,-20,922,1,5,1,1,95,4,4,3,16184,22578,4,19,3,3,80,1,10,2,3,6,1,0,5,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
