EmployeeNumber,race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E2(-1),E3(1),E4(-1),E5(1),E6(-1),E7(1),E8(-1),E9(1),E10(-1),N1(-1),N2(1),N3(-1),N4(1),N5(-1),N6(-1),N7(-1),N8(-1),N9(-1),N10(-1),A1(-1),A2(1),A3(-1),A4(1),A5(-1),A6(1),A7(-1),A8(1),A9(1),A10(1),C1(1),C2(-1),C3(1),C4(-1),C5(1),C6(-1),C7(1),C8(-1),C9(1),C10(1),O1(1),O2(-1),O3(1),O4(-1),O5(1),O6(-1),O7(1),O8(1),O9(1),O10(1)
,Mixed Race,18,0,1,1,1,PH,,,,,,3,3,4,4,4,3,4,3,5,3,2,4,2,4,4,4,4,3,4,4,3,3,3,3,4,3,2,3,2,3,2,4,5,2,4,2,3,2,3,4,3,5,3,4,2,4,4,3,4
,Caucasian (Indian),21,0,0,2,1,IN,,,,,,4,4,5,2,3,4,3,3,4,4,4,4,3,3,4,3,3,4,2,1,4,1,4,3,4,3,2,4,3,3,4,3,4,3,4,3,4,2,3,3,1,4,2,4,2,3,3,4,3
,Caucasian (Middle East),37,0,1,1,1,IR,,,,,,1,5,2,4,1,4,4,5,1,3,4,3,4,4,2,1,1,1,2,5,5,2,4,2,5,2,4,5,5,5,3,4,4,3,5,4,1,4,5,4,1,5,1,5,1,4,5,5,5
,Caucasian (Middle East),32,0,0,1,1,LB,,,,,,2,4,3,5,2,5,5,1,3,3,4,3,2,4,3,3,2,3,4,1,4,1,5,1,5,3,5,5,5,3,1,3,4,5,2,5,2,3,5,4,4,4,4,3,4,5,4,5,4
,Caucasian (European),14,0,0,1,1,NL,,,,,,3,4,4,2,2,2,4,2,4,3,3,4,3,3,4,3,2,2,2,2,4,1,5,1,4,1,5,5,4,3,3,4,2,3,2,3,3,3,3,4,2,4,1,3,2,4,3,3,3
,Caucasian (European),46,1,1,1,1,NZ,,,,,,5,3,3,3,4,3,3,3,3,2,3,3,1,1,2,1,1,3,2,2,3,2,3,2,4,2,3,4,4,3,1,4,1,3,2,4,2,3,5,4,1,5,1,3,1,4,3,5,3
,Mixed Race,18,0,1,1,1,PH,,,,,,3,4,3,3,4,2,4,2,4,3,3,4,4,3,4,3,3,4,3,2,4,2,4,2,4,2,4,2,4,4,4,5,4,5,5,5,1,4,4,4,3,4,2,5,1,4,3,4,5
,Caucasian (European),28,0,1,1,1,HU,,,,,,5,1,5,1,5,1,5,1,5,2,5,5,2,5,2,4,4,2,4,1,3,2,5,1,5,2,4,5,3,3,4,5,3,1,3,3,5,2,4,4,1,5,1,5,1,5,4,5,4
,Caucasian (Middle East),23,0,1,1,1,LB,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3
,Mixed Race,18,0,0,1,1,US,,,,,,2,5,4,5,1,5,3,4,3,4,2,3,4,3,5,3,3,2,2,2,5,1,5,3,5,2,5,5,5,3,4,5,2,2,3,4,2,4,4,3,3,2,3,4,2,2,3,1,4
,Mixed Race,16,0,1,1,1,PH,,,,,,5,2,5,5,3,1,5,5,5,3,2,5,2,2,5,3,1,3,3,4,5,1,5,1,5,1,5,5,5,5,1,5,1,5,5,5,1,5,5,1,3,5,1,4,1,4,3,1,4
,Mixed Race,29,0,0,1,5,VN,,,,,,3,4,4,4,3,2,2,4,2,5,4,2,4,2,1,2,4,1,2,2,3,1,4,2,2,2,4,4,4,4,3,4,2,2,2,5,2,4,4,4,2,4,2,4,2,4,2,4,4
,Mixed Race,30,0,0,1,1,AE,,,,,,3,2,3,3,4,2,4,2,4,4,3,4,4,4,3,4,5,3,4,4,2,3,4,4,4,4,4,3,3,3,4,5,3,3,4,4,3,2,3,3,3,4,3,3,4,4,4,3,3
,Caucasian (European),32,0,0,1,1,NO,,,,,,2,4,2,4,2,4,3,3,2,2,3,3,4,4,2,1,1,3,1,3,4,2,3,2,2,2,4,4,4,4,1,4,2,3,1,5,2,4,3,4,2,3,1,4,2,5,4,3,4
,Mixed Race,20,1,1,1,1,NZ,,,,,,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,4,5,5,5,1,5,1,5,1,5,1,2,5,2,2,4,2,4,2,4,4,4,2,4,2,4,2,1,2,4,2,1,5,4
,Mixed Race,37,1,1,1,1,US,,,,,,1,3,3,4,2,2,4,4,5,5,1,5,1,5,5,5,5,5,4,4,4,1,4,5,5,5,4,5,5,4,1,3,2,5,3,5,1,4,4,4,4,5,1,5,1,3,1,5,5
,Caucasian (European),18,1,1,1,5,GB,,,,,,3,5,2,5,2,5,3,4,2,1,5,1,5,1,1,1,1,1,1,1,5,1,5,1,4,1,5,5,4,4,2,4,2,3,4,3,1,4,4,3,2,5,1,4,1,4,3,4,5
,Mixed Race,15,0,0,1,1,PH,,,,,,2,3,3,3,4,3,2,5,5,3,5,4,2,1,5,5,4,4,4,2,5,4,5,1,4,2,3,4,4,2,3,4,4,2,4,4,3,1,3,3,4,4,1,4,2,2,3,4,4
,Caucasian (European),25,1,1,1,1,GB,,,,,,4,2,4,1,3,1,4,1,5,2,4,5,2,5,2,2,3,5,2,4,3,4,1,5,3,4,2,1,3,4,1,4,3,3,1,5,1,4,5,5,1,5,1,5,1,5,5,5,4
,Caucasian (Indian),26,0,1,1,1,IN,,,,,,1,4,4,5,5,5,1,1,5,1,4,4,5,5,3,5,4,5,4,5,5,1,5,1,5,1,1,5,5,1,5,1,1,3,5,5,5,1,4,4,1,5,1,5,1,4,4,5,5
,Caucasian (Middle East),23,0,1,1,1,LB,,,,,,3,5,1,5,2,3,3,3,3,2,5,5,3,2,2,3,3,3,3,1,5,2,5,1,3,1,4,5,5,5,5,5,1,2,1,5,3,5,5,3,3,3,1,4,2,4,2,2,5
,Caucasian (European),31,1,1,1,1,US,,,,,,4,2,3,2,4,2,3,4,4,2,2,5,2,3,3,4,3,3,4,2,3,3,4,2,4,3,4,4,2,5,1,4,2,3,2,4,1,5,4,2,1,5,1,3,1,4,4,4,4
,Mixed Race,21,0,0,1,1,US,,,,,,4,3,4,4,4,2,3,4,5,3,3,4,1,3,4,3,2,4,4,2,3,4,5,2,5,3,2,4,3,3,4,4,3,2,3,4,3,3,4,3,1,4,1,4,2,4,3,5,3
,Caucasian (European),16,1,0,1,1,GB,,,,,,1,4,2,4,2,3,2,3,4,3,3,4,2,3,4,2,2,3,4,5,3,2,3,2,3,2,4,3,4,2,2,3,2,1,2,3,4,1,5,4,3,4,3,5,1,3,1,3,4
,Caucasian (Indian),23,0,0,1,5,IN,,,,,,3,5,4,4,2,2,1,2,5,3,4,2,3,1,1,3,2,3,3,4,4,2,1,4,3,5,4,1,3,2,5,4,1,2,1,5,1,4,5,3,1,4,1,5,1,5,4,5,4
,Caucasian (European),32,0,1,0,1,BE,,,,,,5,1,3,1,3,1,4,4,3,4,3,3,2,4,1,1,1,5,2,2,1,5,2,5,4,5,3,4,4,5,1,5,1,3,1,4,1,3,4,5,1,5,2,3,1,5,4,3,3
,Caucasian (European),17,1,0,1,1,SE,,,,,,1,3,3,5,1,4,4,3,5,5,1,5,1,5,4,5,4,5,4,2,4,4,5,1,4,2,4,4,5,4,4,5,4,4,4,4,3,5,5,4,2,5,1,3,1,4,4,5,4
,Mixed Race,20,1,0,1,5,LB,,,,,,3,4,1,4,2,2,4,5,3,4,3,3,4,4,3,2,2,4,1,2,4,1,5,1,5,1,4,5,4,5,4,4,1,5,1,5,2,4,5,5,1,3,1,4,1,5,5,5,4
,Caucasian (European),23,0,0,1,1,BA,,,,,,5,2,4,4,2,2,4,1,4,2,1,4,3,4,4,4,3,4,3,4,3,1,5,1,5,2,4,4,3,2,2,4,3,2,5,4,2,3,2,1,2,3,2,3,3,4,2,3,3
,Caucasian (European),42,1,0,1,1,AE,,,,,,5,4,4,3,4,3,5,1,5,2,3,5,1,1,3,3,3,4,4,1,4,1,5,3,4,4,2,4,5,4,2,5,1,1,2,5,5,3,4,5,4,4,4,4,2,5,5,4,3
,Mixed Race,24,1,0,1,2,US,,,,,,4,2,4,2,4,2,4,2,4,4,2,4,2,4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,2,4,5,5,2,2,4,4,2,2,4,4,1,5,1,4,2,4,4,5,5
,Caucasian (European),31,1,1,1,5,US,,,,,,1,5,2,5,1,4,2,5,1,4,3,4,2,3,3,2,3,3,2,2,5,2,4,2,5,2,3,3,4,3,4,4,3,1,3,3,2,2,4,4,2,4,1,4,2,4,3,3,5
,Caucasian (Indian),21,0,0,1,5,IN,,,,,,1,4,5,4,4,1,2,5,5,2,3,4,2,4,1,4,4,3,2,4,4,1,5,1,5,5,5,5,5,3,3,4,4,3,1,5,1,3,4,1,2,4,1,5,1,4,1,4,4
,Mixed Race2,22,1,1,1,2,US,,,,,,4,2,2,4,3,2,2,4,3,2,4,5,2,4,2,4,2,4,4,3,3,2,4,2,4,2,4,4,4,3,2,4,3,2,4,5,2,4,4,4,1,5,2,5,1,4,4,5,5
,Caucasian (European),28,0,0,1,5,CZ,,,,,,1,4,2,4,2,4,4,3,5,2,3,1,2,3,4,3,3,3,3,1,5,1,3,1,4,1,5,4,5,1,4,4,4,3,3,4,3,1,4,4,2,4,1,3,1,4,2,4,4
,Caucasian (European),26,0,0,1,1,RO,,,,,,1,5,5,5,2,5,4,2,2,5,1,5,2,5,5,5,5,4,5,1,5,2,5,2,5,1,4,5,4,5,3,4,2,2,1,5,3,2,4,5,2,5,2,4,1,5,4,5,5
,Caucasian (European),18,1,1,1,1,CA,,,,,,4,2,5,2,2,1,5,3,5,2,3,4,2,2,2,3,1,1,3,3,2,3,3,1,1,3,4,2,3,4,1,4,1,2,1,5,1,4,3,2,4,4,4,4,1,3,2,4,4
,Caucasian (European),46,1,1,0,2,GB,,,,,,4,3,3,2,3,1,4,3,4,2,4,2,5,4,2,2,1,2,1,2,3,1,4,2,2,3,3,3,4,3,2,4,2,2,4,4,2,2,4,4,1,5,1,4,2,4,3,3,4
,Mixed Race,41,1,0,0,4,US,,,,,,3,4,3,4,2,2,4,2,2,4,3,4,2,1,2,2,1,2,1,1,3,1,4,2,5,2,5,5,5,4,3,5,1,3,3,3,2,4,3,4,2,4,2,3,1,3,1,3,5
,Caucasian (European),51,1,1,1,1,US,,,,,,2,4,2,5,2,4,2,4,3,2,5,2,5,1,1,1,1,1,1,2,3,2,4,2,5,1,4,4,4,3,1,4,2,4,1,2,1,4,4,4,1,5,1,5,1,5,4,5,5
,Caucasian (European),18,0,0,1,2,FR,,,,,,2,4,2,4,4,4,1,2,5,4,3,4,4,3,3,3,1,2,4,3,4,2,4,1,4,1,4,5,5,4,2,5,4,4,1,5,1,3,4,3,1,4,1,2,2,5,2,4,4
,Mixed Race,23,0,1,0,1,IN,,,,,,5,3,4,3,5,4,3,2,5,2,1,1,3,2,2,1,3,2,3,5,3,1,5,1,5,2,4,5,5,3,1,3,1,3,1,5,4,3,3,3,3,3,2,3,4,2,2,5,3
,Caucasian (European),44,1,0,1,1,IE,,,,,,1,4,4,4,1,1,4,3,4,3,4,5,3,4,3,4,2,4,2,4,5,2,4,3,2,2,4,3,4,3,2,5,1,4,5,5,1,5,5,4,2,5,3,5,1,4,2,4,5
,Mixed Race,27,0,0,1,2,PH,,,,,,2,5,3,4,2,3,3,4,4,4,2,4,2,4,5,4,4,4,4,3,5,2,3,3,3,2,4,3,4,4,1,3,2,4,1,4,4,4,4,2,2,2,3,3,3,4,4,5,3
,Caucasian (European),15,1,0,1,1,AU,,,,,,1,1,5,1,5,1,5,1,5,5,5,4,5,5,1,1,1,5,5,5,5,3,1,1,5,5,3,3,5,3,1,3,4,1,5,3,3,1,3,5,5,5,5,5,1,3,5,4,5
,Caucasian (European),55,1,0,1,1,US,,,,,,1,5,1,5,1,5,2,5,2,3,4,3,3,3,3,3,1,2,2,1,4,1,4,2,5,2,3,4,4,4,1,4,2,3,2,5,2,4,3,4,3,3,3,3,2,4,4,4,3
,Caucasian (European),19,1,1,1,1,GB,,,,,,2,4,2,4,2,4,3,4,3,1,5,2,5,2,1,1,1,1,1,3,4,4,3,3,2,2,5,4,5,3,5,4,3,2,3,3,3,2,3,5,1,5,1,5,1,5,4,3,4
,Caucasian (European),16,1,0,1,1,GB,,,,,,4,2,4,3,4,1,5,1,5,5,1,5,1,3,4,4,5,5,5,5,1,3,1,4,1,5,2,1,3,1,5,4,4,1,5,5,4,2,3,4,1,5,1,4,1,4,4,4,5
,Caucasian (European),53,1,0,1,1,US,,,,,,3,3,3,4,2,3,3,4,4,5,3,5,1,4,4,4,4,4,4,1,5,1,5,1,5,1,4,5,3,2,4,5,3,4,3,4,3,4,4,5,1,5,1,4,1,4,4,4,4
,Caucasian (European),23,1,1,1,2,US,,,,,,1,4,3,3,1,3,4,3,3,1,5,1,3,1,1,3,2,1,2,1,5,3,3,1,2,1,5,2,4,3,3,3,3,3,4,3,3,1,3,5,2,5,1,4,1,5,4,5,5
,Mixed Race2,22,1,0,2,5,NG,,,,,,1,5,2,5,2,3,2,4,5,5,2,5,2,5,5,4,4,5,4,1,5,2,5,1,5,2,4,5,5,4,1,4,1,4,1,4,2,4,4,5,2,5,2,5,1,5,4,4,4
,Caucasian (European),28,0,0,1,1,IL,,,,,,2,5,1,5,1,4,2,4,2,1,4,3,1,1,1,1,1,1,1,4,5,1,4,2,3,1,3,1,4,4,2,5,1,2,1,4,1,4,3,5,1,4,2,4,1,4,3,2,4
,Caucasian (Indian),16,0,0,1,1,IN,,,,,,1,5,5,5,1,1,5,5,1,1,5,1,5,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,1,5,1,1,1,1,3,5,5,5,5,5,5,5,1,5,1,5,5
,Caucasian (European),21,0,1,1,1,HR,,,,,,4,3,4,2,4,2,5,2,4,3,3,4,3,3,4,2,2,4,4,2,4,1,4,2,5,3,4,4,4,3,3,3,3,1,4,3,3,3,3,3,2,4,3,3,3,4,2,4,3
,Caucasian (European),40,1,0,0,1,CA,,,,,,1,5,2,5,1,4,5,1,1,1,5,4,5,1,1,1,1,1,1,5,1,2,1,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,2,4,1,5,1,4,3,5,4
,Caucasian (European),26,1,1,1,5,US,,,,,,2,5,2,4,2,4,3,2,2,2,4,3,2,3,2,2,2,2,2,3,5,2,2,2,3,2,4,3,4,5,3,5,2,5,2,4,2,4,4,3,3,4,3,5,2,5,2,3,5
,Mixed Race,21,0,0,1,1,PH,,,,,,5,3,5,1,2,1,5,1,5,1,4,5,2,5,2,4,4,4,1,1,4,4,5,1,5,1,5,5,2,2,2,5,4,2,4,4,2,2,5,2,1,4,1,4,2,5,1,4,4
,Caucasian (European),45,1,0,1,5,US,,,,,,4,3,4,1,3,2,5,1,5,4,4,4,5,1,2,2,2,3,1,2,4,2,3,2,2,3,5,4,5,5,3,3,1,5,3,4,1,4,3,4,1,5,1,5,1,4,3,5,5
,Caucasian (Middle East),14,1,0,1,2,US,,,,,,2,4,3,4,2,3,4,2,2,2,4,2,2,4,1,1,1,2,1,3,4,2,4,2,3,2,5,4,5,3,3,3,3,2,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3
,Caucasian (Indian),17,0,0,1,1,IN,,,,,,4,3,1,4,4,1,2,5,5,4,4,4,3,4,4,5,4,5,3,1,4,3,5,1,5,4,4,5,5,3,1,5,2,3,2,2,1,1,5,5,1,5,1,5,1,5,4,5,4
,Caucasian (European),16,1,0,1,1,AU,,,,,,1,3,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,3,1,1,5,1,5,1,5,1,1,1,5,1,5,1,5,1,5,5,5,5,5,3,5,1,5,1,5,5,5,5
,Caucasian (European),25,1,1,0,2,US,,,,,,3,2,4,2,2,5,5,1,5,4,3,5,1,2,4,4,4,4,4,2,4,1,4,1,5,1,4,3,3,3,5,4,3,3,5,4,2,2,3,4,3,5,3,3,2,3,4,4,4
,Mixed Race,19,0,0,1,2,MY,,,,,,4,2,4,2,3,1,4,2,5,2,3,4,3,3,3,2,2,4,2,2,2,2,4,3,4,3,4,4,3,3,1,4,2,2,2,3,2,2,4,4,2,4,2,3,2,4,2,4,3
,Mixed Race,15,1,1,1,1,US,,,,,,4,2,4,1,2,1,4,4,5,2,4,4,2,1,1,2,1,1,2,2,5,3,3,3,4,2,1,3,2,3,2,4,2,1,3,4,3,2,4,4,2,4,2,3,3,4,3,4,4
,Mixed Race,27,0,0,1,1,LK,,,,,,3,5,5,3,3,5,5,5,2,5,4,5,5,5,3,5,2,1,5,3,5,5,5,2,5,1,5,5,5,1,1,5,3,5,4,5,3,1,4,4,1,5,3,5,1,4,2,5,5
,Caucasian (European),49,1,1,1,1,GB,,,,,,3,5,4,4,2,4,3,5,2,2,4,3,4,2,4,2,3,2,2,1,5,1,4,1,3,1,4,4,5,4,2,4,1,3,2,4,1,3,4,5,3,4,2,4,2,4,3,4,5
,Caucasian (European),25,1,0,1,1,GB,,,,,,3,4,2,4,3,4,3,3,4,3,4,3,4,2,2,1,1,2,2,1,4,1,5,1,4,1,4,5,4,4,3,4,1,2,1,3,1,3,4,4,1,4,1,4,1,5,3,5,4
,Mixed Race,19,0,0,1,2,PH,,,,,,2,4,3,4,2,3,4,2,3,4,3,3,3,3,2,3,3,2,3,4,4,1,4,4,4,3,4,4,3,2,2,4,4,3,4,2,3,2,3,3,2,4,2,3,3,3,3,3,3
,Mixed Race,22,0,0,1,2,US,,,,,,4,4,2,4,2,1,5,3,2,2,5,4,3,1,1,2,1,1,1,1,4,1,5,1,5,1,5,5,5,5,1,5,1,3,2,5,2,5,3,2,1,4,1,5,1,4,3,4,5
,Caucasian (European),60,1,0,0,1,US,,,,,,5,1,5,1,5,1,5,1,4,5,1,5,1,5,5,4,4,4,5,1,3,3,5,3,5,2,2,5,2,1,5,1,5,1,5,3,4,1,2,1,5,3,3,3,2,2,2,2,4
,Mixed Race,15,1,1,0,1,US,,,,,,4,3,4,3,3,2,5,4,4,4,2,4,3,1,4,2,4,5,3,4,2,5,2,4,2,5,1,3,3,3,4,4,3,2,3,3,4,3,4,5,3,4,3,4,1,4,4,4,5
,Mixed Race,24,0,1,1,2,IN,,,,,,3,5,4,4,2,4,2,5,2,2,5,4,3,2,1,4,4,4,3,4,5,2,4,3,5,2,4,4,4,3,4,4,4,3,5,2,3,2,3,3,3,5,4,4,1,5,3,3,4
,Caucasian (European),23,0,1,1,1,HU,,,,,,2,4,4,4,2,3,4,4,4,1,3,4,2,1,2,3,4,1,4,2,5,2,4,2,2,1,3,4,3,4,2,4,3,1,1,4,3,2,3,4,3,5,3,4,1,4,4,5,3
,Caucasian (European),28,1,1,1,1,US,,,,,,2,4,3,2,1,2,4,3,4,2,4,1,3,1,1,3,1,2,1,1,3,1,4,1,3,3,3,4,3,5,1,4,1,3,1,5,1,5,5,5,1,5,1,5,1,5,5,4,5
,Caucasian (North African),23,1,1,1,5,US,,,,,,4,4,4,3,2,3,4,2,4,2,4,2,4,2,2,2,1,2,1,2,4,2,3,2,3,2,4,3,4,4,2,3,2,4,2,4,2,3,3,3,2,3,3,4,2,4,2,3,4
,Caucasian (European),31,1,1,1,1,US,,,,,,3,4,3,4,3,5,5,1,5,3,4,2,1,2,1,1,1,2,3,1,3,2,1,2,5,4,4,1,5,5,1,5,1,3,2,5,2,5,3,3,3,2,5,3,5,3,3,5,4
,Caucasian (European),52,1,0,1,1,US,,,,,,4,4,2,4,2,4,3,2,4,3,4,3,4,2,3,2,2,3,2,1,4,1,4,1,5,1,4,4,4,5,3,5,1,4,1,4,1,3,4,4,2,5,3,4,1,4,2,4,4
,Caucasian (European),20,1,1,1,5,US,,,,,,4,2,4,2,4,2,4,3,5,3,4,4,2,1,2,3,2,4,3,2,4,3,3,4,2,2,3,4,3,4,4,4,3,2,3,3,4,5,4,5,1,4,1,5,2,5,4,5,4
,Caucasian (European),18,1,1,1,1,US,,,,,,4,2,4,1,1,1,5,2,5,3,3,2,2,1,4,5,5,3,4,5,3,4,2,4,3,4,2,1,3,3,1,2,4,3,3,2,4,2,3,4,5,4,2,5,2,5,4,4,4
,Caucasian (European),15,1,0,1,2,CA,,,,,,5,1,5,2,4,4,4,1,5,5,3,5,2,4,4,4,5,4,4,1,2,1,5,1,5,1,4,4,3,2,5,4,4,2,4,2,4,3,2,3,2,3,1,2,2,4,3,2,2
,Mixed Race,16,0,0,1,2,CA,,,,,,1,4,3,4,1,5,4,3,1,4,3,4,1,2,2,1,1,2,2,3,4,1,3,1,4,1,4,4,4,3,1,4,1,3,2,3,2,3,3,2,3,3,2,3,3,4,1,3,4
,Caucasian (European),15,0,0,1,2,CA,,,,,,4,1,5,1,4,1,5,1,4,5,4,5,2,4,4,4,4,4,4,1,2,1,3,2,4,2,3,3,2,2,4,2,4,2,4,3,3,3,2,3,2,4,2,3,2,4,3,4,2
,Caucasian (Indian),66,1,0,1,1,US,,,,,,4,2,4,2,4,2,5,2,5,2,4,4,4,4,2,2,2,2,2,5,4,1,5,2,4,2,4,5,4,4,4,4,2,2,4,4,2,2,2,2,4,5,4,4,2,4,2,4,5
,Caucasian (European),43,1,0,0,1,US,,,,,,2,2,5,3,3,1,5,1,5,2,2,4,2,4,2,2,1,3,2,1,4,1,4,3,4,2,4,5,4,3,5,5,3,1,5,3,1,1,4,5,3,5,3,5,1,5,3,5,5
,Caucasian (European),42,0,0,0,5,US,,,,,,3,2,4,5,1,1,4,2,4,3,3,5,1,3,3,4,3,3,5,1,5,1,5,1,5,1,5,5,3,3,3,5,1,3,3,5,1,3,4,4,3,5,1,3,1,4,2,5,5
,Caucasian (European),15,0,1,1,2,RO,,,,,,4,3,4,5,4,2,5,1,5,4,4,5,3,2,3,5,1,2,2,5,3,5,4,1,5,1,3,5,3,2,5,4,3,2,4,5,4,2,2,5,3,5,5,4,1,5,3,5,4
,Caucasian (Middle East),30,0,1,1,1,IR,,,,,,4,1,3,1,5,1,5,1,1,1,1,5,5,1,1,5,1,1,4,5,1,5,1,5,1,5,1,1,1,1,5,5,1,1,5,5,1,5,5,4,1,5,1,5,1,5,4,5,5
,Caucasian (European),43,1,1,1,1,GB,,,,,,4,3,4,3,2,1,2,3,4,3,3,4,2,1,2,3,3,4,4,3,4,3,4,2,1,2,4,2,2,3,2,5,2,2,1,3,4,2,4,4,1,2,1,4,3,5,4,5,3
,Caucasian (Indian),15,1,1,1,1,IN,,,,,,2,3,5,2,1,1,4,3,2,1,4,2,1,1,1,5,5,1,5,5,2,4,1,1,3,4,5,1,4,3,5,4,4,2,5,2,3,1,5,5,1,5,1,4,1,5,4,3,5
,Caucasian (European),15,1,0,0,2,GB,,,,,,1,5,1,5,1,5,4,5,2,5,3,5,2,4,3,3,2,3,2,1,5,1,4,1,5,2,4,5,3,3,3,2,5,5,4,5,3,4,4,5,3,2,1,3,2,5,5,5,4
,Caucasian (European),21,0,1,1,1,IE,,,,,,2,3,4,3,2,3,3,3,4,3,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3,2,3,4,3,5,3,3,3,4,3,3,4,5,1,4,2,4,1,4,4,3,4
,Caucasian (European),15,1,0,1,2,CA,,,,,,4,1,5,1,5,1,5,1,5,5,1,5,4,4,4,4,4,4,4,1,2,1,3,1,5,2,4,2,2,1,4,3,4,2,4,4,3,3,3,3,2,4,2,2,2,3,3,2,3
,Caucasian (European),38,0,0,1,1,LT,,,,,,2,5,1,5,1,4,1,5,1,2,4,3,3,3,4,1,1,3,1,1,5,1,5,1,5,2,3,5,5,3,5,2,4,1,1,3,3,1,3,4,5,3,5,5,2,5,2,3,5
,Caucasian (Indian),25,0,1,1,1,IN,,,,,,4,3,4,4,2,3,2,5,3,5,3,5,3,5,4,4,4,5,4,2,4,3,4,2,4,1,2,4,3,4,4,5,3,4,2,4,2,4,3,4,3,4,4,4,3,3,3,4,3
,Caucasian (European),26,1,0,1,2,US,,,,,,2,5,2,5,1,5,4,3,4,4,3,4,4,2,2,2,1,1,2,1,5,2,5,1,5,1,5,5,5,5,2,5,1,5,2,5,1,5,4,3,2,4,2,5,2,5,3,5,5
,Mixed Race,22,1,1,1,1,TH,,,,,,1,4,5,5,1,2,5,2,5,5,3,5,1,5,5,5,5,5,5,3,5,5,2,2,2,2,4,2,3,4,5,3,3,2,3,5,5,4,4,3,2,4,1,4,2,3,4,5,5
,Caucasian (European),29,1,1,1,5,DE,,,,,,1,5,3,5,1,5,4,5,2,2,2,2,4,4,4,5,4,2,4,3,4,1,5,2,5,1,4,4,3,3,3,2,3,3,1,3,2,4,3,5,2,3,1,3,2,4,3,5,3
,Caucasian (Indian),19,0,0,1,1,IN,,,,,,3,3,4,2,3,2,4,2,5,4,3,3,3,3,4,3,2,4,2,2,4,2,4,3,3,3,3,3,2,3,4,2,4,2,4,4,4,2,3,4,3,4,3,4,2,3,2,4,4
,Mixed Race,39,0,0,0,1,GB,,,,,,2,5,1,4,1,2,4,4,2,2,5,1,2,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,2,2,2,5,1,5,2,4,5
,Mixed Race,40,0,0,1,5,MX,,,,,,2,4,5,2,3,2,2,2,2,3,2,5,3,3,3,3,2,3,5,2,4,1,5,1,4,1,4,5,4,2,3,5,2,4,2,3,2,2,2,4,4,2,1,2,3,4,3,5,2
,Caucasian (European),40,1,1,1,1,US,,,,,,2,1,4,2,2,1,4,2,5,4,2,5,2,4,5,4,4,5,4,4,2,4,4,4,2,5,2,4,2,3,4,4,2,2,4,4,4,4,3,5,1,5,2,4,1,5,4,5,5
,Caucasian (European),40,1,0,1,2,US,,,,,,1,5,3,5,4,5,3,3,3,3,3,3,1,2,3,2,1,2,1,1,5,1,5,1,5,1,2,5,1,5,3,5,2,3,3,5,1,5,4,5,1,4,1,5,5,5,4,4,5
,Caucasian (European),14,0,0,2,1,US,,,,,,3,2,2,2,5,5,5,4,2,5,2,5,1,4,4,4,5,4,5,4,4,4,3,3,2,5,2,3,5,4,4,5,4,2,4,4,3,4,5,5,2,5,1,4,1,4,4,4,5
,Mixed Race,22,0,0,1,5,US,,,,,,2,4,2,4,1,4,2,4,5,4,3,5,5,1,2,3,2,5,1,2,3,1,5,1,5,2,5,4,4,4,4,4,2,2,1,4,1,4,5,4,1,4,1,4,1,4,4,5,4
,Caucasian (European),28,0,1,1,1,SE,,,,,,3,4,3,4,2,4,2,3,3,2,4,2,2,4,1,3,3,3,4,4,2,2,2,5,2,4,2,3,3,5,3,5,4,3,3,4,3,4,3,4,1,5,1,3,1,4,4,4,3
,Caucasian (European),20,1,1,1,2,US,,,,,,2,2,4,5,1,1,1,4,4,3,3,4,5,3,3,1,1,3,1,3,4,2,2,4,1,3,4,4,1,4,2,5,1,4,2,5,2,5,4,3,1,4,1,4,1,5,3,5,4
,North East Asian,25,0,1,1,2,IN,,,,,,3,2,4,1,3,2,4,3,5,4,2,4,4,4,2,2,3,2,4,4,3,2,4,2,4,4,2,4,2,2,4,3,4,1,4,3,4,1,2,3,2,4,2,2,3,3,3,5,3
,No Response,49,1,0,0,5,US,,,,,,1,5,1,5,1,5,5,4,1,1,3,5,5,2,1,1,1,1,1,1,5,1,5,2,4,5,4,5,5,4,1,5,1,5,1,5,1,5,5,4,1,5,2,5,1,4,4,5,5
,Caucasian (European),52,1,0,1,1,US,,,,,,2,2,2,4,1,4,4,2,3,2,3,4,1,3,3,2,2,2,5,1,4,1,5,1,5,1,4,5,4,2,4,4,4,1,5,5,4,1,3,2,4,4,2,4,1,1,1,5,3
