,EmployeeNumber,Age,Attrition,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
368,492,40,Yes,29,7,5,17,-7,Travel_Rarely,575,Sales,22,2,Marketing,1,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0
369,493,31,No,15,15,-13,-12,-18,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2
370,494,21,Yes,19,15,-1,23,-12,Travel_Rarely,156,Sales,12,3,Life Sciences,1,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
371,495,29,No,20,12,13,21,-24,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,4,Male,54,3,1,Research Scientist,4,Single,2201,18168,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2
372,496,35,No,28,5,3,14,-14,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
373,497,27,No,21,0,-7,9,-30,Travel_Rarely,1469,Research & Development,1,2,Medical,1,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4
374,498,28,No,21,15,-7,22,-20,Travel_Rarely,304,Sales,9,4,Life Sciences,1,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
375,499,49,No,28,-2,8,16,-17,Travel_Rarely,1261,Research & Development,7,3,Other,1,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,Y,No,24,4,3,80,0,26,2,3,5,2,0,0
376,500,51,No,14,20,-5,8,-7,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7
377,501,36,No,22,-1,-16,19,-32,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2
378,502,34,Yes,9,2,-3,9,-29,Non-Travel,1362,Sales,19,3,Marketing,1,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4
379,505,55,No,27,6,-14,20,-23,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
380,507,24,No,15,9,-5,15,-14,Travel_Rarely,1371,Sales,10,4,Marketing,1,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
381,508,30,No,22,1,-9,4,-35,Travel_Rarely,202,Sales,2,1,Technical Degree,1,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
382,510,26,Yes,15,13,-3,16,-17,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4
383,511,22,No,23,17,-1,19,-17,Travel_Rarely,253,Research & Development,11,3,Medical,1,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
384,513,36,No,22,3,-17,15,-21,Travel_Rarely,164,Sales,2,2,Medical,1,2,Male,61,2,3,Sales Executive,3,Married,7596,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
385,514,30,Yes,24,10,7,17,-25,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0
386,515,37,No,25,12,-5,11,-22,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
387,516,40,No,24,19,-5,8,-2,Travel_Rarely,759,Sales,2,2,Marketing,1,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3
388,517,42,No,26,14,7,21,-14,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2
389,518,37,No,15,10,-8,18,-27,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1
390,520,43,No,18,12,-2,11,-5,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9
391,521,40,No,32,13,-3,3,-23,Travel_Rarely,555,Research & Development,2,3,Medical,1,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0
392,522,54,No,29,8,16,19,-27,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2
393,523,34,No,21,9,-7,21,-29,Non-Travel,1381,Sales,4,4,Marketing,1,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2
394,524,31,No,20,2,-6,22,-7,Travel_Rarely,480,Research & Development,7,2,Medical,1,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12
395,525,43,No,23,13,-2,22,-28,Travel_Frequently,313,Research & Development,21,3,Medical,1,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2
396,526,43,No,25,12,4,19,-13,Travel_Rarely,1473,Research & Development,8,4,Other,1,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2
397,527,25,No,27,17,3,16,-22,Travel_Rarely,891,Sales,4,2,Life Sciences,1,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3
398,529,37,No,12,10,8,17,-20,Non-Travel,1063,Research & Development,25,5,Medical,1,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7
399,530,31,No,19,15,-2,15,-16,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2
400,531,39,No,28,20,-5,17,-18,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6
401,532,56,No,18,6,12,23,-9,Travel_Frequently,906,Sales,6,3,Life Sciences,1,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7
402,533,30,No,17,4,-9,13,-33,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
403,534,41,No,16,20,0,8,-19,Travel_Rarely,645,Sales,1,3,Marketing,1,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
404,536,28,No,24,17,10,-6,-11,Travel_Rarely,1300,Research & Development,17,2,Medical,1,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
405,538,25,Yes,25,6,-2,18,-12,Travel_Rarely,688,Research & Development,3,3,Medical,1,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2
406,543,52,No,19,13,8,14,-21,Travel_Rarely,319,Research & Development,3,3,Medical,1,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4
407,544,45,No,9,5,-13,-8,-3,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
408,546,52,No,27,10,-6,18,-19,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,4,Female,30,3,4,Manager,4,Married,16555,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4
409,547,42,No,16,13,-13,8,-15,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2
410,548,30,No,21,4,12,11,-13,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2
411,549,60,No,13,5,-14,4,-23,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10
412,550,46,No,16,13,-19,2,-23,Travel_Rarely,1485,Research & Development,18,3,Medical,1,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8
413,551,42,No,8,10,1,12,-27,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4
414,554,24,Yes,17,-4,-10,18,-17,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4
415,555,34,Yes,29,4,-10,16,-10,Travel_Frequently,296,Sales,6,2,Marketing,1,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0
416,556,38,No,10,13,-10,6,-30,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
417,558,40,No,20,7,8,20,-16,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,3,Female,79,3,5,Manager,3,Married,18041,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12
418,560,26,No,27,12,13,16,-25,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2
419,562,30,No,26,18,-14,19,-20,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,3,Male,53,3,1,Laboratory Technician,4,Married,2097,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4
420,564,29,No,29,2,1,12,-36,Travel_Rarely,986,Research & Development,3,4,Medical,1,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7
421,565,29,Yes,22,21,-9,13,-24,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1
422,566,19,Yes,30,24,-2,19,-26,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
423,567,30,No,28,6,-1,19,-17,Non-Travel,1398,Sales,22,4,Other,1,3,Female,69,3,3,Sales Executive,1,Married,8412,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8
424,568,57,No,15,8,-6,6,-23,Travel_Rarely,210,Sales,29,3,Marketing,1,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0
425,569,50,No,15,18,-7,18,-32,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,2,Male,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7
426,571,30,No,16,12,-3,9,-28,Non-Travel,1116,Research & Development,2,3,Medical,1,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
427,573,60,No,20,5,-6,9,-25,Travel_Frequently,1499,Sales,28,3,Marketing,1,3,Female,80,2,3,Sales Executive,1,Married,10266,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11
428,574,47,No,16,7,-7,5,-25,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4
429,575,46,No,23,0,17,24,-22,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,1,Male,51,3,4,Research Director,3,Married,17861,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1
430,577,35,No,32,6,-15,16,-38,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3
431,578,54,No,22,13,0,4,-1,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,3,Female,42,3,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
432,579,34,No,18,19,8,14,-14,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
433,580,46,No,14,13,-17,7,-7,Travel_Rarely,1125,Sales,10,3,Marketing,1,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2
434,581,31,No,13,6,11,17,-20,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8
435,582,33,Yes,27,10,11,19,-22,Travel_Rarely,1277,Research & Development,15,1,Medical,1,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7
436,584,33,Yes,27,6,6,19,-27,Travel_Rarely,587,Research & Development,10,1,Medical,1,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3
437,585,30,No,23,13,-8,-1,-33,Travel_Rarely,413,Sales,7,1,Marketing,1,4,Male,57,3,1,Sales Representative,2,Single,2983,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2
438,586,35,No,15,8,8,19,-26,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0
439,587,31,Yes,25,9,-1,5,-23,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,1,Male,66,3,3,Healthcare Representative,3,Married,9824,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0
440,590,34,Yes,29,11,18,23,-13,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2
441,591,42,No,27,6,-11,1,-28,Travel_Frequently,1474,Research & Development,5,2,Other,1,2,Male,97,3,1,Laboratory Technician,3,Married,2093,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0
442,592,36,No,22,7,0,10,-20,Non-Travel,635,Sales,10,4,Medical,1,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7
443,593,22,Yes,20,13,9,16,-16,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,3,Male,99,2,1,Laboratory Technician,3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2
444,595,48,No,28,2,-8,10,-30,Travel_Rarely,163,Sales,2,5,Marketing,1,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7
445,597,55,No,23,8,4,18,-31,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,1,Female,83,3,4,Manager,2,Single,16835,9873,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7
446,599,41,No,22,11,6,17,-8,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10
447,600,35,No,23,4,-2,4,-16,Travel_Rarely,619,Sales,1,3,Marketing,1,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9
448,601,40,No,11,3,6,8,-18,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13
449,602,39,No,13,5,12,14,-3,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7
450,604,31,No,28,25,-5,8,-29,Travel_Rarely,828,Sales,2,1,Life Sciences,1,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5
451,605,42,No,19,4,-11,5,-3,Travel_Rarely,319,Research & Development,24,3,Medical,1,4,Male,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8
452,606,45,No,22,10,14,22,-29,Travel_Rarely,561,Sales,2,3,Other,1,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7
453,608,26,Yes,16,6,-3,12,-20,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,2,Female,58,3,1,Human Resources,3,Divorced,2741,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0
454,611,29,No,12,8,-4,14,-21,Travel_Rarely,232,Research & Development,19,3,Technical Degree,1,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,Y,No,12,3,2,80,2,8,2,4,3,2,1,2
455,612,33,No,24,24,-8,19,-20,Travel_Rarely,922,Research & Development,1,5,Medical,1,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5
456,613,31,No,27,19,8,25,-9,Travel_Rarely,688,Sales,7,3,Life Sciences,1,3,Male,44,2,3,Manager,4,Divorced,11557,25291,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1
457,614,18,Yes,29,9,2,2,-21,Travel_Frequently,1306,Sales,5,3,Marketing,1,2,Male,69,3,1,Sales Representative,2,Single,1878,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0
458,615,40,No,30,7,2,8,-19,Non-Travel,1094,Sales,28,3,Other,1,3,Male,58,1,3,Sales Executive,1,Divorced,10932,11373,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1
459,616,41,No,29,17,-2,4,-33,Non-Travel,509,Research & Development,2,4,Other,1,1,Female,62,2,2,Healthcare Representative,3,Single,6811,2112,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7
460,618,26,No,28,26,16,26,-6,Travel_Rarely,775,Sales,29,2,Medical,1,1,Male,45,3,2,Sales Executive,3,Divorced,4306,4267,5,Y,No,12,3,1,80,2,8,5,3,0,0,0,0
461,620,35,No,19,9,-10,6,-16,Travel_Rarely,195,Sales,1,3,Medical,1,1,Female,80,3,2,Sales Executive,3,Single,4859,6698,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3
462,621,34,No,19,24,-14,-2,-2,Travel_Rarely,258,Sales,21,4,Life Sciences,1,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7
463,622,26,Yes,23,5,-7,13,-12,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,3,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0
464,623,37,No,15,15,9,16,-14,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,2,Female,59,3,3,Manufacturing Director,4,Single,7491,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2
465,624,46,No,24,1,-3,11,-25,Travel_Frequently,1034,Research & Development,18,1,Medical,1,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2
466,625,41,No,32,16,6,5,-18,Travel_Rarely,1276,Sales,2,5,Life Sciences,1,2,Female,91,3,4,Manager,1,Married,16595,5626,7,Y,No,16,3,2,80,1,22,2,3,18,16,11,8
467,626,37,No,17,15,-12,22,-17,Non-Travel,142,Sales,9,4,Medical,1,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7
468,630,52,No,15,23,5,14,-9,Travel_Rarely,956,Research & Development,6,2,Technical Degree,1,4,Male,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9
469,631,32,Yes,10,5,-2,9,-21,Non-Travel,1474,Sales,11,4,Other,1,4,Male,60,4,2,Sales Executive,3,Married,4707,23914,8,Y,No,12,3,4,80,0,6,2,3,4,2,1,2
470,632,24,No,25,11,-5,21,-27,Travel_Frequently,535,Sales,24,3,Medical,1,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1
471,634,38,No,10,7,0,7,-19,Travel_Rarely,1495,Research & Development,10,3,Medical,1,3,Female,76,3,2,Healthcare Representative,3,Married,9824,22174,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0
472,635,37,No,29,11,12,14,-8,Travel_Rarely,446,Research & Development,1,4,Life Sciences,1,2,Female,65,3,2,Manufacturing Director,2,Married,6447,15701,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3
473,638,49,No,21,11,-6,-2,-23,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,2,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9
474,639,24,No,30,14,3,12,-35,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4
475,641,26,No,0,16,-9,0,-30,Travel_Rarely,703,Sales,28,2,Marketing,1,1,Male,66,3,2,Sales Executive,2,Married,6272,7428,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4
476,643,24,No,13,21,-1,20,-17,Travel_Rarely,823,Research & Development,17,2,Other,1,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0
477,644,50,No,28,19,-2,21,-20,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,Male,99,3,5,Manager,2,Married,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7
478,645,25,No,24,18,5,7,-22,Travel_Rarely,622,Sales,13,1,Medical,1,2,Male,40,3,1,Sales Representative,3,Married,2096,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6
479,647,24,Yes,25,5,-3,4,-17,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2
480,648,30,Yes,6,-1,-16,14,-31,Travel_Frequently,448,Sales,12,4,Life Sciences,1,2,Male,74,2,1,Sales Representative,1,Married,2033,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0
481,649,34,No,22,17,9,13,-15,Travel_Rarely,254,Research & Development,1,2,Life Sciences,1,2,Male,83,2,1,Research Scientist,4,Married,3622,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3
482,650,31,Yes,24,9,10,24,-22,Travel_Rarely,1365,Sales,13,4,Medical,1,2,Male,46,3,2,Sales Executive,1,Divorced,4233,11512,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2
483,652,35,No,18,11,-8,16,-20,Travel_Rarely,538,Research & Development,25,2,Other,1,1,Male,54,2,2,Laboratory Technician,4,Single,3681,14004,4,Y,No,14,3,4,80,0,9,3,3,3,2,0,2
484,653,31,No,14,6,-6,18,-28,Travel_Rarely,525,Sales,6,4,Medical,1,1,Male,66,4,2,Sales Executive,4,Divorced,5460,6219,4,Y,No,22,4,4,80,2,13,4,4,7,7,5,7
485,655,27,No,4,2,0,2,-6,Travel_Rarely,798,Research & Development,6,4,Medical,1,1,Female,66,2,1,Research Scientist,3,Divorced,2187,5013,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3
486,656,37,No,13,12,1,11,-23,Travel_Rarely,558,Sales,2,3,Marketing,1,4,Male,75,3,2,Sales Executive,3,Married,9602,3010,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0
487,657,20,No,15,2,-14,11,-24,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,4,Female,83,2,1,Research Scientist,2,Single,2836,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
488,659,42,No,14,-3,-13,9,-33,Travel_Rarely,622,Research & Development,2,4,Life Sciences,1,3,Female,81,3,2,Healthcare Representative,4,Married,4089,5718,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2
489,661,43,No,28,5,-2,25,-28,Travel_Rarely,782,Research & Development,6,4,Other,1,2,Male,50,2,4,Research Director,4,Divorced,16627,2671,4,Y,Yes,14,3,3,80,1,21,3,2,1,0,0,0
490,662,38,No,24,26,8,26,1,Travel_Rarely,362,Research & Development,1,1,Life Sciences,1,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0
491,663,43,No,29,18,15,21,-8,Travel_Frequently,1001,Research & Development,9,5,Medical,1,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7
492,664,48,No,18,20,6,12,-14,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,4,Female,40,2,4,Manager,1,Married,15402,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2
