,EmployeeNumber,race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
966,1360.0,Caucasian (European),17,1,1,1,1,(nu,26.0,-1.0,12.0,4.0,-21.0,5.0,5,5.0,5,5.0,2,4.0,5,5.0,2.0,4,4.0,2,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4,2.0,2,2.0,3,4.0,2,3,3,2,2.0,3,2.0,1,3.0,5,2.0,1,2,5,4.0,5,5.0,4,5.0,4,5,2,5
967,1361.0,Caucasian (European),51,1,0,1,1,(nu,27.0,6.0,17.0,15.0,-14.0,5.0,5,4.0,5,5.0,5,4.0,5,4.0,4.0,4,3.0,3,4.0,5.0,3.0,2.0,3.0,3.0,1.0,5,3.0,5,5.0,5,1.0,4,5,5,3,4.0,2,4.0,3,3.0,4,3.0,2,2,4,5.0,5,5.0,5,5.0,5,2,4,5
968,1362.0,Mixed Race,19,0,0,1,5,(nu,13.0,12.0,-5.0,17.0,-28.0,1.0,3,3.0,2,2.0,2,3.0,2,3.0,2.0,2,2.0,2,3.0,2.0,2.0,1.0,2.0,2.0,4.0,4,4.0,4,4.0,5,4.0,4,5,3,3,4.0,3,4.0,3,2.0,3,5.0,5,4,3,1.0,5,1.0,3,4.0,3,3,5,3
969,1363.0,Mixed Race,44,0,1,1,2,(nu,15.0,12.0,-9.0,22.0,-24.0,2.0,4,2.0,3,3.0,2,1.0,2,1.0,2.0,2,2.0,2,3.0,3.0,2.0,3.0,3.0,2.0,4.0,5,5.0,5,4.0,5,4.0,5,4,5,3,5.0,4,5.0,2,2.0,3,5.0,3,4,2,3.0,3,5.0,4,4.0,2,2,4,4
970,1364.0,Mixed Race,22,0,0,1,1,(nu,9.0,10.0,-1.0,11.0,-11.0,2.0,5,3.0,2,3.0,2,4.0,3,2.0,4.0,3,4.0,3,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2,5.0,5,4.0,4,3.0,4,4,3,2,5.0,4,4.0,3,4.0,2,3.0,4,3,2,3.0,3,3.0,2,3.0,4,2,3,2
971,1367.0,Mixed Race,1997,1,0,1,5,(nu,2.0,9.0,9.0,15.0,-22.0,4.0,4,5.0,3,5.0,5,4.0,4,2.0,2.0,3,2.0,1,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4,5.0,5,4.0,5,3.0,1,4,4,3,4.0,3,4.0,1,4.0,4,4.0,5,1,2,2.0,3,1.0,1,4.0,1,1,4,1
972,1368.0,Caucasian (European),33,0,1,1,2,(nu,26.0,12.0,1.0,20.0,-26.0,1.0,3,3.0,3,2.0,4,4.0,3,4.0,1.0,1,2.0,4,3.0,3.0,2.0,1.0,4.0,1.0,4.0,4,5.0,5,4.0,5,4.0,3,5,5,2,5.0,5,5.0,4,4.0,2,4.0,2,3,4,5.0,5,4.0,4,5.0,4,4,5,4
973,1369.0,Mixed Race,17,1,1,1,5,(nu,17.0,10.0,-6.0,8.0,-26.0,2.0,3,3.0,4,2.0,2,2.0,2,2.0,2.0,3,1.0,3,1.0,2.0,2.0,3.0,1.0,4.0,2.0,3,4.0,3,4.0,4,3.0,3,3,3,4,4.0,3,2.0,3,4.0,4,3.0,4,3,3,4.0,3,3.0,4,4.0,4,3,4,3
974,1371.0,Caucasian (Middle East),16,1,0,1,5,(nu,20.0,1.0,-18.0,18.0,-18.0,1.0,3,1.0,1,1.0,1,1.0,1,1.0,1.0,4,1.0,5,3.0,1.0,1.0,4.0,5.0,5.0,5.0,4,2.0,5,5.0,5,5.0,5,5,1,3,2.0,5,1.0,1,1.0,1,5.0,1,5,3,5.0,5,5.0,4,5.0,3,1,2,5
975,1372.0,No Response,14,1,1,0,5,(nu,29.0,14.0,-1.0,26.0,-25.0,5.0,3,3.0,2,4.0,1,3.0,2,3.0,3.0,1,1.0,1,3.0,3.0,3.0,5.0,2.0,1.0,5.0,5,5.0,5,5.0,5,5.0,5,5,5,3,5.0,5,4.0,3,3.0,4,4.0,3,4,5,5.0,5,4.0,5,5.0,4,5,4,5
976,1373.0,Mixed Race,17,1,0,1,5,(nu,12.0,13.0,0.0,14.0,-30.0,5.0,5,1.0,5,4.0,1,3.0,4,1.0,1.0,5,1.0,4,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4,3.0,4,3.0,5,4.0,4,4,4,5,5.0,4,3.0,3,2.0,4,2.0,4,5,2,1.0,5,3.0,3,2.0,4,2,4,4
977,1374.0,Native American,23,1,1,2,5,(nu,24.0,11.0,8.0,16.0,-16.0,3.0,4,4.0,4,5.0,5,3.0,3,4.0,3.0,3,2.0,4,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4,3.0,5,4.0,4,5.0,4,4,4,3,4.0,4,3.0,3,3.0,4,4.0,3,4,4,4.0,4,5.0,4,5.0,4,3,4,5
978,1375.0,Caucasian (European),32,1,1,0,1,(nu,11.0,18.0,4.0,15.0,-11.0,3.0,4,4.0,4,3.0,4,3.0,3,2.0,4.0,4,3.0,3,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4,5.0,4,4.0,2,4.0,4,4,4,4,5.0,5,4.0,4,4.0,4,4.0,4,4,2,4.0,2,4.0,3,3.0,4,2,2,3
979,1377.0,Mixed Race,15,1,1,1,1,(nu,17.0,12.0,8.0,9.0,-10.0,4.0,4,4.0,5,4.0,5,3.0,3,3.0,4.0,4,4.0,2,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5,3.0,2,4.0,2,5.0,3,2,4,4,4.0,3,3.0,3,3.0,4,3.0,5,4,2,4.0,3,5.0,3,5.0,4,2,4,3
980,1379.0,Mixed Race,26,1,0,1,1,(nu,21.0,12.0,6.0,20.0,-27.0,5.0,4,4.0,4,4.0,3,3.0,3,3.0,1.0,2,1.0,4,3.0,1.0,2.0,1.0,2.0,4.0,5.0,5,4.0,4,5.0,5,4.0,4,4,4,4,3.0,4,3.0,4,4.0,3,5.0,3,3,4,4.0,4,2.0,4,5.0,4,4,4,4
981,1380.0,Caucasian (Indian),22,0,1,1,1,(nu,16.0,3.0,-4.0,13.0,-24.0,4.0,2,2.0,4,4.0,2,1.0,3,2.0,2.0,3,3.0,3,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3,3.0,4,5.0,5,4.0,3,5,3,4,2.0,2,3.0,2,2.0,3,2.0,4,3,2,2.0,4,4.0,3,4.0,5,3,4,3
982,1382.0,Caucasian (European),17,1,1,1,1,(nu,29.0,6.0,7.0,3.0,-24.0,4.0,4,3.0,5,4.0,5,2.0,3,4.0,3.0,3,2.0,1,5.0,5.0,1.0,2.0,1.0,1.0,2.0,4,4.0,1,5.0,1,3.0,2,1,4,2,4.0,4,2.0,2,4.0,3,3.0,2,4,5,5.0,5,4.0,3,5.0,5,5,5,5
983,1383.0,Caucasian (Indian),21,0,0,1,5,(nu,18.0,10.0,7.0,19.0,-17.0,4.0,4,3.0,4,5.0,3,3.0,5,2.0,1.0,4,2.0,4,5.0,2.0,5.0,2.0,4.0,2.0,1.0,5,5.0,5,5.0,5,5.0,4,4,4,3,5.0,3,2.0,5,2.0,4,5.0,2,3,1,5.0,5,5.0,4,5.0,3,1,3,4
984,1387.0,Mixed Race,19,0,0,1,1,(nu,18.0,-2.0,4.0,14.0,-23.0,3.0,3,3.0,5,3.0,3,3.0,5,3.0,2.0,3,1.0,3,3.0,1.0,2.0,3.0,3.0,4.0,1.0,4,3.0,5,3.0,5,4.0,5,3,5,1,1.0,3,1.0,3,1.0,5,4.0,1,2,3,3.0,5,3.0,5,4.0,2,3,3,5
985,1389.0,No Response,33,1,0,1,2,US,21.0,23.0,14.0,24.0,-3.0,4.0,5,5.0,5,5.0,5,3.0,4,5.0,5.0,4,3.0,4,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4,5.0,5,5.0,5,5.0,5,4,5,4,5.0,5,5.0,5,5.0,4,5.0,4,5,3,5.0,4,4.0,5,1.0,5,3,4,5
986,1390.0,Caucasian (European),30,1,1,1,2,(nu,21.0,8.0,-14.0,16.0,-30.0,1.0,2,1.0,1,2.0,1,4.0,2,1.0,4.0,4,1.0,1,2.0,1.0,1.0,1.0,2.0,1.0,5.0,3,5.0,5,2.0,5,2.0,5,5,3,3,4.0,3,3.0,2,4.0,4,3.0,3,3,2,5.0,1,5.0,4,5.0,5,3,4,5
987,1391.0,Mixed Race,19,0,0,1,1,(nu,21.0,9.0,-2.0,13.0,-17.0,4.0,4,2.0,2,3.0,2,3.0,2,1.0,3.0,5,2.0,4,3.0,2.0,2.0,3.0,4.0,3.0,1.0,3,5.0,4,4.0,5,3.0,4,3,5,3,5.0,5,4.0,2,1.0,4,3.0,1,5,4,2.0,4,3.0,4,5.0,5,4,4,4
988,1392.0,Caucasian (Indian),45,1,1,1,2,(nu,25.0,8.0,14.0,14.0,-14.0,4.0,5,5.0,4,4.0,4,5.0,5,4.0,4.0,4,4.0,2,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4,3.0,4,4.0,3,4.0,4,5,4,4,2.0,2,4.0,3,4.0,3,4.0,3,3,4,5.0,5,5.0,5,5.0,5,3,2,4
989,1394.0,Caucasian (European),29,1,0,1,1,(nu,19.0,23.0,1.0,16.0,-24.0,5.0,4,3.0,4,4.0,2,2.0,3,1.0,2.0,3,1.0,2,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4,2.0,4,4.0,5,4.0,4,5,4,5,4.0,5,3.0,5,5.0,5,5.0,5,5,3,5.0,4,3.0,4,4.0,5,2,4,3
990,1395.0,Mixed Race,21,1,1,1,5,(nu,19.0,2.0,-4.0,12.0,-21.0,3.0,3,3.0,3,3.0,2,1.0,4,1.0,3.0,3,1.0,3,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3,4.0,4,4.0,4,4.0,4,3,4,3,2.0,4,2.0,2,2.0,3,2.0,3,3,4,2.0,4,3.0,4,5.0,4,3,4,4
991,1396.0,Caucasian (European),56,1,0,1,1,(nu,32.0,16.0,-14.0,4.0,-29.0,2.0,1,1.0,3,3.0,1,1.0,1,1.0,1.0,3,1.0,2,1.0,1.0,3.0,4.0,1.0,2.0,4.0,2,5.0,3,3.0,2,2.0,2,3,2,4,4.0,5,2.0,4,4.0,4,4.0,4,5,5,5.0,5,5.0,5,5.0,5,5,5,5
992,1397.0,Mixed Race,18,0,1,1,1,(nu,17.0,2.0,-3.0,14.0,-32.0,2.0,3,3.0,5,2.0,3,1.0,5,2.0,1.0,5,1.0,2,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3,3.0,5,4.0,5,4.0,5,2,2,3,2.0,2,1.0,1,5.0,5,3.0,1,3,3,3.0,3,5.0,3,3.0,4,3,5,3
993,1399.0,Mixed Race,21,0,0,1,5,(nu,14.0,10.0,1.0,14.0,-18.0,3.0,4,3.0,3,4.0,3,3.0,3,3.0,3.0,3,3.0,3,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3,3.0,4,4.0,4,4.0,4,4,4,3,4.0,4,4.0,3,2.0,4,3.0,4,3,2,4.0,3,3.0,3,4.0,4,2,3,4
994,1401.0,Mixed Race,24,0,1,1,1,(nu,14.0,7.0,8.0,11.0,-25.0,4.0,3,4.0,5,3.0,4,3.0,5,3.0,2.0,4,1.0,4,1.0,1.0,2.0,3.0,2.0,3.0,1.0,5,2.0,4,3.0,5,3.0,3,4,5,3,1.0,4,3.0,2,3.0,5,2.0,4,4,2,2.0,5,2.0,4,4.0,4,1,4,4
995,1402.0,Mixed Race,19,1,1,0,2,(nu,26.0,18.0,-5.0,10.0,-19.0,2.0,4,3.0,3,4.0,2,1.0,2,2.0,2.0,3,1.0,4,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3,5.0,4,2.0,5,2.0,3,4,3,4,5.0,4,5.0,3,5.0,4,4.0,4,4,5,4.0,5,4.0,4,5.0,5,4,4,4
996,1403.0,Caucasian (European),28,1,0,1,1,(nu,28.0,14.0,-13.0,1.0,-32.0,3.0,2,1.0,2,4.0,1,1.0,1,1.0,2.0,1,1.0,2,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2,4.0,2,2.0,2,2.0,2,3,3,5,5.0,4,5.0,1,5.0,5,2.0,1,5,5,5.0,5,2.0,5,5.0,5,4,5,5
997,1405.0,Caucasian (European),48,1,0,1,2,(nu,23.0,2.0,12.0,19.0,-12.0,5.0,5,4.0,5,4.0,3,4.0,4,5.0,4.0,4,3.0,3,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5,4.0,4,4.0,3,4.0,4,5,5,3,1.0,3,4.0,1,4.0,2,3.0,2,3,4,5.0,5,4.0,4,5.0,3,2,4,5
998,1407.0,Caucasian (European),37,1,1,1,2,(nu,8.0,16.0,-8.0,-3.0,-11.0,2.0,3,2.0,2,2.0,2,2.0,2,2.0,4.0,4,4.0,5,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2,3.0,2,2.0,2,2.0,2,2,2,4,4.0,4,4.0,4,4.0,4,4.0,4,4,2,3.0,2,2.0,3,2.0,3,3,3,3
999,1408.0,Caucasian (Indian),25,0,0,2,1,(nu,29.0,10.0,2.0,14.0,-13.0,4.0,4,1.0,5,4.0,5,2.0,4,1.0,5.0,5,4.0,3,4.0,4.0,2.0,2.0,3.0,3.0,1.0,5,4.0,4,2.0,5,4.0,4,4,5,2,5.0,5,4.0,3,5.0,3,3.0,2,2,4,5.0,5,5.0,5,5.0,4,4,5,5
1000,1409.0,Caucasian (European),56,1,1,2,1,(nu,14.0,13.0,7.0,15.0,-9.0,5.0,4,2.0,4,4.0,4,4.0,2,4.0,5.0,3,4.0,4,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4,4.0,4,4.0,2,4.0,4,4,4,3,2.0,4,5.0,3,4.0,4,5.0,3,4,3,2.0,4,3.0,4,4.0,4,2,3,3
1001,1411.0,Mixed Race,34,0,0,1,5,(nu,23.0,19.0,10.0,11.0,-14.0,3.0,5,5.0,5,5.0,4,4.0,2,2.0,2.0,2,2.0,4,5.0,5.0,4.0,5.0,2.0,3.0,1.0,3,5.0,5,4.0,3,5.0,1,4,4,4,4.0,5,4.0,3,5.0,5,3.0,5,5,2,5.0,5,4.0,4,5.0,5,2,4,5
1002,1412.0,Mixed Race,26,1,1,1,2,(nu,25.0,6.0,0.0,12.0,-12.0,4.0,3,3.0,4,3.0,2,4.0,3,3.0,4.0,4,3.0,3,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2,4.0,4,3.0,4,4.0,4,4,3,3,2.0,3,4.0,2,3.0,2,4.0,4,3,4,4.0,5,4.0,4,5.0,3,4,5,5
1003,1415.0,Caucasian (European),35,1,1,0,2,(nu,27.0,2.0,17.0,18.0,-14.0,5.0,5,4.0,5,5.0,5,4.0,5,4.0,3.0,3,3.0,3,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5,4.0,4,4.0,4,4.0,4,5,4,2,2.0,2,3.0,2,2.0,4,3.0,2,4,4,5.0,5,5.0,5,5.0,5,2,4,5
1004,1417.0,Caucasian (European),17,1,1,1,5,(nu,21.0,20.0,16.0,21.0,-18.0,5.0,5,5.0,5,5.0,5,5.0,4,2.0,2.0,3,3.0,1,3.0,5.0,2.0,5.0,1.0,5.0,3.0,5,5.0,5,3.0,5,5.0,4,5,5,3,5.0,4,5.0,5,3.0,5,5.0,4,5,4,3.0,5,5.0,4,5.0,4,1,4,4
1005,1419.0,Caucasian (European),17,1,1,0,1,(nu,20.0,11.0,-9.0,10.0,-13.0,2.0,3,2.0,3,3.0,2,1.0,2,2.0,4.0,3,2.0,3,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3,5.0,2,4.0,3,4.0,3,3,3,4,4.0,3,4.0,2,4.0,4,3.0,4,3,5,4.0,3,4.0,3,4.0,4,4,4,3
1006,1420.0,Caucasian (European),18,1,0,1,1,(nu,26.0,9.0,10.0,21.0,-24.0,4.0,4,4.0,4,5.0,4,4.0,5,2.0,2.0,3,1.0,2,1.0,2.0,2.0,3.0,4.0,4.0,5.0,4,5.0,4,4.0,5,4.0,5,5,4,3,1.0,4,3.0,4,1.0,4,5.0,3,5,5,5.0,3,5.0,5,3.0,5,5,5,3
1007,1421.0,Caucasian (European),38,0,0,1,2,(nu,13.0,17.0,-12.0,24.0,-26.0,3.0,2,2.0,3,3.0,1,1.0,1,1.0,1.0,2,1.0,4,3.0,1.0,4.0,4.0,1.0,1.0,5.0,4,5.0,5,5.0,5,5.0,4,5,5,5,4.0,4,4.0,5,5.0,3,4.0,4,3,3,3.0,3,3.0,3,3.0,3,2,5,3
1008,1422.0,Mixed Race,16,1,0,1,1,(nu,14.0,12.0,-16.0,16.0,-26.0,2.0,1,2.0,1,2.0,1,2.0,1,1.0,1.0,3,1.0,3,2.0,4.0,1.0,1.0,3.0,3.0,5.0,4,5.0,5,5.0,4,3.0,4,4,1,4,5.0,4,3.0,4,2.0,4,3.0,4,3,2,2.0,4,5.0,2,3.0,3,3,4,4
1009,1423.0,Caucasian (European),25,1,1,1,2,(nu,25.0,9.0,-2.0,4.0,-18.0,2.0,3,2.0,4,4.0,2,3.0,3,3.0,4.0,4,3.0,2,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3,2.0,3,2.0,3,3.0,3,3,3,4,2.0,4,4.0,2,3.0,4,4.0,3,3,4,5.0,4,4.0,4,5.0,4,4,5,4
1010,1424.0,Caucasian (Indian),22,0,0,1,1,(nu,24.0,18.0,2.0,15.0,-15.0,5.0,3,4.0,4,1.0,1,5.0,5,1.0,4.0,1,2.0,2,1.0,5.0,3.0,5.0,5.0,5.0,1.0,4,5.0,5,5.0,5,4.0,4,5,1,5,5.0,5,5.0,2,5.0,1,5.0,5,4,4,4.0,5,5.0,5,5.0,5,1,3,5
1011,1425.0,Mixed Race,51,0,0,1,2,(nu,29.0,21.0,15.0,19.0,-6.0,5.0,5,4.0,4,5.0,4,4.0,5,5.0,5.0,4,4.0,2,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4,5.0,5,4.0,3,5.0,3,5,4,5,3.0,5,5.0,4,5.0,3,5.0,5,5,4,5.0,5,5.0,5,5.0,5,4,5,4
1012,1427.0,Mixed Race2,34,0,1,1,1,(nu,9.0,7.0,-10.0,12.0,-12.0,2.0,3,2.0,2,3.0,2,1.0,3,1.0,5.0,5,2.0,3,2.0,5.0,1.0,5.0,5.0,3.0,3.0,4,5.0,3,3.0,4,5.0,3,3,3,3,2.0,5,5.0,3,1.0,3,2.0,2,5,2,1.0,3,5.0,3,3.0,3,2,3,2
1013,1428.0,Mixed Race,20,0,0,1,5,(nu,7.0,3.0,3.0,10.0,-23.0,3.0,4,4.0,4,3.0,3,2.0,4,3.0,1.0,1,3.0,3,5.0,1.0,3.0,3.0,1.0,4.0,4.0,3,3.0,4,4.0,2,4.0,4,4,2,3,5.0,3,1.0,2,2.0,2,2.0,3,4,1,1.0,2,4.0,4,4.0,3,1,2,3
1014,1430.0,Caucasian (Indian),19,0,0,1,1,(nu,20.0,19.0,15.0,20.0,-11.0,5.0,5,5.0,4,5.0,5,4.0,5,3.0,5.0,4,3.0,3,4.0,1.0,4.0,4.0,5.0,4.0,1.0,5,5.0,5,4.0,4,5.0,5,5,5,5,5.0,5,5.0,3,4.0,3,4.0,4,5,3,4.0,3,5.0,5,4.0,5,3,3,3
1015,1431.0,Caucasian (European),42,1,0,1,2,(nu,25.0,12.0,5.0,16.0,-20.0,5.0,3,1.0,5,5.0,4,2.0,4,3.0,3.0,2,4.0,4,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4,2.0,4,4.0,5,4.0,4,4,5,4,4.0,4,3.0,3,4.0,4,4.0,3,3,5,2.0,5,4.0,4,5.0,4,5,4,5
1016,1433.0,Caucasian (North African),18,0,1,1,2,(nu,27.0,-1.0,-9.0,24.0,-31.0,2.0,4,2.0,3,3.0,1,2.0,2,1.0,1.0,3,1.0,4,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5,5.0,5,5.0,5,5.0,4,4,5,1,2.0,4,2.0,2,1.0,3,3.0,2,3,4,5.0,5,5.0,5,5.0,4,3,5,4
1017,1434.0,Mixed Race,33,1,0,1,2,(nu,23.0,8.0,-7.0,19.0,-21.0,2.0,3,3.0,3,3.0,2,3.0,2,1.0,2.0,3,2.0,3,4.0,3.0,1.0,3.0,3.0,3.0,5.0,4,5.0,5,3.0,5,3.0,5,5,3,1,4.0,5,3.0,3,1.0,5,3.0,3,4,3,3.0,5,3.0,5,5.0,5,2,5,5
1018,1435.0,Mixed Race,16,1,0,1,1,(nu,17.0,8.0,-7.0,19.0,-38.0,4.0,1,3.0,2,4.0,2,1.0,2,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,1.0,5,5.0,5,5.0,5,5,2,4,5.0,5,1.0,1,5.0,3,3.0,2,3,3,1.0,5,3.0,2,5.0,3,3,5,5
1019,1436.0,Caucasian (European),25,1,0,1,1,(nu,15.0,18.0,-8.0,12.0,-27.0,4.0,4,2.0,4,2.0,1,1.0,1,2.0,1.0,3,1.0,2,1.0,1.0,2.0,4.0,1.0,5.0,4.0,4,5.0,4,2.0,4,5.0,3,2,3,3,5.0,5,5.0,1,5.0,4,5.0,4,5,5,2.0,4,4.0,2,4.0,3,2,5,2
1020,1438.0,Caucasian (European),29,1,1,1,5,(nu,28.0,16.0,-4.0,19.0,-18.0,2.0,3,3.0,4,4.0,1,2.0,4,1.0,2.0,4,1.0,2,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4,5.0,5,4.0,4,4.0,4,4,4,2,5.0,5,5.0,2,5.0,4,5.0,3,4,5,5.0,5,4.0,5,5.0,5,4,4,4
1021,1439.0,Caucasian (European),15,1,1,0,1,(nu,31.0,-8.0,8.0,6.0,-17.0,5.0,5,3.0,4,4.0,4,3.0,5,3.0,3.0,2,5.0,2,3.0,5.0,3.0,3.0,2.0,3.0,3.0,4,2.0,3,3.0,3,4.0,2,3,3,2,3.0,2,2.0,1,1.0,1,1.0,1,2,5,5.0,5,5.0,4,5.0,5,5,5,5
1022,1440.0,Mixed Race,50,1,0,1,1,(nu,19.0,18.0,-4.0,26.0,-3.0,2.0,4,1.0,5,5.0,5,1.0,1,1.0,5.0,5,4.0,5,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5,5.0,5,5.0,5,5.0,5,5,5,3,5.0,4,5.0,2,5.0,5,5.0,4,4,3,4.0,5,2.0,5,5.0,4,1,4,4
1023,1441.0,Mixed Race,30,1,0,1,5,(nu,16.0,15.0,13.0,16.0,-13.0,4.0,5,4.0,5,3.0,5,3.0,5,4.0,5.0,4,4.0,2,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5,5.0,4,3.0,5,1.0,4,5,5,4,2.0,4,4.0,4,3.0,5,3.0,5,5,4,3.0,2,3.0,4,4.0,4,2,4,4
1024,1443.0,Mixed Race,25,0,0,0,5,(nu,27.0,9.0,5.0,22.0,-15.0,4.0,5,1.0,5,4.0,5,2.0,2,4.0,4.0,5,4.0,3,3.0,2.0,2.0,4.0,2.0,4.0,4.0,5,4.0,5,4.0,5,4.0,5,5,5,4,2.0,4,4.0,3,4.0,3,3.0,2,4,4,5.0,5,5.0,4,5.0,5,2,5,5
1025,1445.0,Caucasian (European),21,1,0,0,2,(nu,22.0,3.0,-3.0,17.0,-22.0,2.0,4,2.0,2,3.0,2,4.0,4,2.0,2.0,3,2.0,3,3.0,2.0,2.0,3.0,2.0,4.0,5.0,4,4.0,5,4.0,4,2.0,4,5,4,3,1.0,3,3.0,2,1.0,4,3.0,4,3,4,4.0,5,4.0,3,5.0,3,4,4,4
1026,1446.0,Mixed Race,53,1,1,1,1,(nu,17.0,13.0,1.0,16.0,-6.0,3.0,4,2.0,3,4.0,4,4.0,4,2.0,4.0,4,4.0,4,4.0,4.0,4.0,5.0,4.0,5.0,2.0,4,5.0,4,4.0,4,5.0,4,4,4,3,2.0,5,5.0,3,4.0,4,2.0,4,5,3,3.0,4,3.0,4,2.0,4,4,4,4
1027,1447.0,Caucasian (European),19,1,1,1,1,(nu,26.0,-5.0,1.0,14.0,-26.0,4.0,4,3.0,4,4.0,2,2.0,3,2.0,2.0,4,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4,3.0,4,4.0,4,3.0,4,4,4,2,1.0,2,2.0,1,1.0,2,2.0,2,4,4,5.0,5,4.0,4,5.0,4,4,5,4
1028,1448.0,Mixed Race,26,0,0,1,5,(nu,19.0,8.0,7.0,21.0,-16.0,3.0,4,3.0,5,4.0,4,3.0,4,4.0,3.0,3,2.0,2,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5,5.0,4,5.0,5,4.0,4,5,3,3,3.0,4,4.0,3,4.0,4,1.0,2,4,4,2.0,4,4.0,4,5.0,3,2,5,4
1029,1449.0,Caucasian (European),17,1,1,1,1,(nu,25.0,-4.0,-12.0,-2.0,-20.0,2.0,1,1.0,2,3.0,2,2.0,2,1.0,3.0,5,4.0,2,5.0,3.0,1.0,1.0,1.0,3.0,3.0,5,2.0,2,1.0,1,2.0,4,1,1,3,1.0,3,3.0,1,1.0,3,2.0,1,2,4,5.0,4,5.0,4,5.0,5,3,5,3
1030,1453.0,Mixed Race,26,0,1,1,1,(nu,16.0,19.0,15.0,-9.0,-13.0,4.0,5,4.0,5,4.0,5,4.0,5,4.0,3.0,5,4.0,2,2.0,4.0,3.0,4.0,4.0,4.0,1.0,2,1.0,1,1.0,1,1.0,1,1,5,5,5.0,5,4.0,2,5.0,5,3.0,4,5,4,3.0,4,1.0,4,4.0,4,4,3,3
1031,1457.0,Mixed Race,25,1,1,0,5,(nu,15.0,22.0,-5.0,6.0,-2.0,3.0,5,1.0,3,4.0,1,1.0,1,4.0,5.0,5,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1,5.0,3,2.0,3,1.0,5,3,5,5,5.0,5,5.0,5,5.0,5,4.0,5,2,4,5.0,3,5.0,4,4.0,5,1,1,1
1032,1458.0,Mixed Race,30,1,0,1,5,(nu,14.0,21.0,19.0,22.0,1.0,5.0,5,5.0,5,5.0,5,4.0,5,5.0,5.0,5,5.0,5,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5,5.0,5,5.0,5,1.0,5,5,5,4,4.0,5,5.0,3,5.0,5,4.0,5,5,3,3.0,3,1.0,5,2.0,4,3,4,4
1033,1459.0,Mixed Race,30,1,0,1,2,(nu,16.0,12.0,-4.0,14.0,-12.0,1.0,3,1.0,3,3.0,1,5.0,3,1.0,3.0,5,1.0,5,5.0,3.0,1.0,5.0,3.0,5.0,1.0,5,5.0,5,3.0,3,3.0,3,5,5,3,3.0,5,1.0,5,3.0,5,5.0,3,3,1,1.0,5,5.0,3,5.0,5,1,3,5
1034,1460.0,Caucasian (European),22,1,1,1,1,(nu,26.0,3.0,-5.0,14.0,-15.0,2.0,4,1.0,3,2.0,2,1.0,4,4.0,5.0,5,4.0,2,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4,2.0,4,4.0,5,4.0,5,4,2,5,1.0,2,2.0,1,1.0,2,5.0,4,4,5,4.0,5,4.0,3,5.0,5,5,4,4
1035,1461.0,Caucasian (European),29,1,0,1,1,(nu,15.0,19.0,8.0,16.0,-31.0,5.0,4,3.0,5,4.0,2,3.0,5,4.0,1.0,2,1.0,2,1.0,2.0,2.0,2.0,1.0,3.0,5.0,4,5.0,4,4.0,4,4.0,2,4,4,4,5.0,4,5.0,4,5.0,5,4.0,4,3,3,4.0,4,2.0,4,3.0,4,2,4,3
